pmRApmDEcor	PlxpmRAcor	PlxpmDEcor	RFG	RFBP	RFRP	E(BR/RP)	Nper	RAdeg	e_RAdeg	DEdeg	e_DEdeg	Source	Plx	e_Plx	pmRA	e_pmRA	pmDE	e_pmDE	Dup	FG	e_FG	Gmag	e_Gmag	FBP	e_FBP	BPmag	e_BPmag	FRP	e_FRP	RPmag	e_RPmag	BP-RP	RV	e_RV	Teff	AG	E(BR-RP)	Rad	Lum	Pmemb
---	---	---	---	---	---	---	---	deg	mas	deg	mas	---	mas	mas	mas/yr	mas/yr	mas/yr	mas/yr	---	e-/s	e-/s	mag	mag	e-/s	e-/s	mag	mag	e-/s	e-/s	mag	mag	mag	km/s	km/s	K	mag	mag	solRad	solLum	---
-------	-------	-------	---------------	----------------	---------------	-----	--	---------------	------	---------------	------	-------------------	---------	------	-------	-----	-------	-----	-	---------------	-------------	---------	--------	---------------	--------------	---------	--------	---------------	-------------	---------	--------	-------	-------	-----	-------	------	------	------	---------	----
-0.3689	-0.2133	 0.0546	  874.436000000	    70.605000000	  144.021000000	1.300	11	334.19685238052	0.0949	 57.68786488313	0.1133	2198564385549577856	  0.3504 	0.1101	 -4.202	0.176	 -3.701	0.195	1	     2402.00000	      2.74690	17.236900	0.001200	      875.64001	     12.40200 	17.995600	0.015400	     2246.69995	     15.60000	16.383100	0.007500	 1.6125	       	     	       	      	      	      	         	0.05
 0.1081	-0.1010	 0.1181	  640.011000000	    32.479000000	  102.118000000	1.381	16	334.17139741866	0.1390	 57.68676939782	0.1162	2198564415609019264	  0.4099 	0.1408	 -4.867	0.274	 -1.471	0.233	0	      943.38000	      1.47400	18.251700	0.001700	      321.53000	      9.89950 	19.083300	0.033400	      981.21002	      9.60860	17.282500	0.010600	 1.8008	       	     	       	      	      	      	         	0.00
 0.0984	-0.2130	 0.0383	  668.595000000	    40.221000000	  172.525000000	1.396	17	334.16140825794	0.1506	 57.69211095428	0.1436	2198564419915731072	  0.8183 	0.1697	 -6.477	0.293	 -1.809	0.284	0	     1583.09998	      2.36780	17.689600	0.001600	      523.08002	     13.00500 	18.555000	0.027000	     1687.69995	      9.78250	16.693700	0.006300	 1.8613	       	     	       	      	      	      	         	0.00
 0.1525	-0.1650	 0.0345	  583.636000000	    35.391000000	   93.164000000	1.344	16	334.20236104007	0.1349	 57.69109321974	0.1249	2198564381249291520	  0.6377 	0.1495	 -0.007	0.262	 -1.590	0.245	0	      792.04999	      1.35710	18.441500	0.001900	      267.26999	      7.55200 	19.284000	0.030700	      797.54999	      8.56070	17.507500	0.011700	 1.7765	       	     	       	      	      	      	         	0.00
 0.0872	-0.0421	 0.0222	 1002.585000000	    79.078000000	  300.610000000	1.499	17	334.19378955969	0.0871	 57.70479855336	0.0776	2198564454275470208	  0.3768 	0.0960	 -4.567	0.170	 -3.245	0.158	0	     2782.50000	      2.77530	17.077300	0.001100	      530.91998	      6.71390 	18.538800	0.013700	     3640.89990	     12.11200	15.858900	0.003600	 2.6799	       	     	       	      	      	      	         	0.31
 0.0825	-0.1568	 0.0468	 1025.112000000	   103.985000000	  296.394000000	1.337	17	334.18679394537	0.0705	 57.69788959179	0.0632	2198564454275470848	  0.4325 	0.0768	 -0.808	0.135	 -2.443	0.124	0	     2202.60010	      2.14860	17.331000	0.001100	      732.48999	      7.04420 	18.189400	0.010400	     2212.50000	      7.46490	16.399700	0.003700	 1.7897	       	     	       	      	      	      	         	0.00
 0.1709	-0.0002	 0.1697	 1220.539000000	   127.025000000	  212.200000000	1.309	16	334.17527427690	0.0645	 57.68882398586	0.0575	2198564419915733248	  0.3026 	0.0735	 -1.590	0.134	 -1.589	0.119	0	     3111.19995	      2.54910	16.956000	0.000900	     1205.30005	      9.48870 	17.648600	0.008500	     2868.50000	     13.51800	16.117800	0.005100	 1.5309	       	     	4343.0 	      	      	      	         	0.00
 0.2406	-0.0389	 0.0625	  705.317000000	    22.741000000	  144.931000000	1.406	16	334.16256151598	0.1200	 57.68263878668	0.1006	2198564419915733120	  0.4177 	0.1230	 -4.667	0.248	  0.202	0.212	0	     1115.59998	      1.58160	18.069600	0.001500	      347.72000	     15.29000 	18.998300	0.047700	     1221.09998	      8.42540	17.045000	0.007500	 1.9533	       	     	       	      	      	      	         	0.00
 0.2382	-0.0327	 0.2351	  505.896000000	   119.247000000	  313.336000000	1.377	16	334.19080766938	0.3667	 57.69678803399	0.3429	2198564454275471872	 -0.0215 	0.4433	 -4.913	0.711	 -1.620	0.690	0	     3249.00000	      6.42230	16.909000	0.002100	     1267.59998	     10.63000 	17.593900	0.009100	     3206.80005	     10.23400	15.996700	0.003500	 1.5972	       	     	4331.0 	      	      	      	         	0.01
 0.1645	-0.0548	 0.1525	  794.015000000	    52.008000000	  149.325000000	1.330	16	334.16346777373	0.1015	 57.68095920068	0.0846	2198564419915733632	  0.6647 	0.1066	 -2.310	0.201	 -2.205	0.170	0	     1427.00000	      1.79720	17.802300	0.001400	      489.29999	      9.40820 	18.627400	0.020900	     1409.30005	      9.43760	16.889400	0.007300	 1.7380	       	     	       	      	      	      	         	0.00
