pmRApmDEcor	PlxpmRAcor	PlxpmDEcor	RFG	RFBP	RFRP	E(BR/RP)	Nper	RAdeg	e_RAdeg	DEdeg	e_DEdeg	Source	Plx	e_Plx	pmRA	e_pmRA	pmDE	e_pmDE	Dup	FG	e_FG	Gmag	e_Gmag	FBP	e_FBP	BPmag	e_BPmag	FRP	e_FRP	RPmag	e_RPmag	BP-RP	RV	e_RV	Teff	AG	E(BR-RP)	Rad	Lum	Pmemb
---	---	---	---	---	---	---	---	deg	mas	deg	mas	---	mas	mas	mas/yr	mas/yr	mas/yr	mas/yr	---	e-/s	e-/s	mag	mag	e-/s	e-/s	mag	mag	e-/s	e-/s	mag	mag	mag	km/s	km/s	K	mag	mag	solRad	solLum	---
-------	-------	-------	---------------	----------------	---------------	-----	--	---------------	------	---------------	------	-------------------	---------	------	-------	-----	-------	-----	-	---------------	-------------	---------	--------	---------------	--------------	---------	--------	---------------	-------------	---------	--------	-------	-------	-----	-------	------	------	------	---------	----
 0.3374	-0.2840	 0.1771	  795.004000000	    33.756000000	   96.372000000	1.462	11	274.49796756180	0.1314	-12.32542021171	0.1278	4153562202248483072	  0.6364 	0.1455	  1.266	0.248	  3.703	0.218	0	     1692.59998	      2.12900	17.617000	0.001400	      644.16998	     19.08300 	18.328900	0.032200	     1829.80005	     18.98800	16.605900	0.011300	 1.7230	       	     	       	      	      	      	         	0.00
 0.4131	-0.3169	 0.1010	  837.231000000	    53.752000000	  194.338000000	1.559	11	274.49636961369	0.1003	-12.32402973398	0.0953	4153562202248486272	  0.4912 	0.1013	 -2.619	0.190	  1.409	0.166	0	     2593.10010	      3.09720	17.153800	0.001300	      558.72998	     10.39500 	18.483400	0.020200	     3484.19995	     17.92800	15.906700	0.005600	 2.5767	       	     	       	      	      	      	         	0.00
 0.4530	-0.3324	 0.1578	  712.985000000	    43.467000000	  141.775000000	1.490	10	274.50718986949	0.1162	-12.31822597763	0.1106	4153562236608220032	  0.2355 	0.1164	  3.275	0.210	 -0.561	0.184	0	     2281.39990	      3.19970	17.292900	0.001500	      744.70001	     17.13300 	18.171400	0.025000	     2654.39990	     18.72300	16.202000	0.007700	 1.9694	       	     	       	      	      	      	         	0.00
 0.1942	-0.3062	 0.1856	  962.791000000	    62.193000000	  134.898000000	1.783	11	274.49843656856	0.0916	-12.31807760196	0.0854	4153562236608230400	 -0.1365 	0.0994	 -2.791	0.174	 -8.690	0.146	0	    20141.00000	     20.91900	14.928200	0.001100	     1062.30005	     17.08100 	17.785700	0.017500	    34842.00000	    258.28000	13.406700	0.008000	 4.3790	       	     	3297.3 	      	      	      	         	0.00
 0.4683	-0.3113	 0.1331	  601.214000000	    28.674000000	  102.267000000	1.660	10	274.50801577517	0.1603	-12.32235804002	0.1550	4153562232288484096	  0.2775 	0.1597	 -1.150	0.290	 -1.048	0.253	0	     1665.09998	      2.76960	17.634800	0.001800	      344.76999	     12.02400 	19.007600	0.037900	     2420.10010	     23.66400	16.302400	0.010600	 2.7052	       	     	       	      	      	      	         	0.00
 0.2859	-0.3125	 0.2180	  967.521000000	    55.282000000	  124.149000000	1.423	11	274.51471169734	0.0915	-12.32976370559	0.0902	4153562163569000576	  0.4444 	0.1061	 -0.746	0.167	  0.593	0.147	0	     2577.60010	      2.66420	17.160300	0.001100	      872.78998	     15.78800 	17.999100	0.019600	     2795.39990	     22.51700	16.145800	0.008700	 1.8533	       	     	       	      	      	      	         	0.00
 0.3263	-0.2604	 0.2259	 1180.970000000	   107.391000000	  162.394000000	1.589	11	274.48762493558	0.0834	-12.32711939284	0.0788	4153562197928741888	  0.0108 	0.0928	  0.146	0.164	 -3.054	0.151	0	     4243.39990	      3.59320	16.619100	0.000900	      689.70001	      6.42230 	18.254700	0.010100	     6053.70020	     37.27800	15.306900	0.006700	 2.9479	       	     	4618.9 	      	      	      	         	0.00
 0.2617	-0.1901	 0.1105	  916.979000000	    79.437000000	  188.793000000	1.408	11	274.49144634699	0.0894	-12.32711652810	0.0865	4153562197928741760	  0.6019 	0.0973	 -3.165	0.173	  1.270	0.150	0	     2614.30005	      2.85100	17.145000	0.001200	      947.65002	     11.93000 	17.909800	0.013700	     2733.39990	     14.47800	16.170200	0.005800	 1.7396	       	     	       	      	      	      	         	0.00
 0.2868	-0.3220	 0.1620	 1960.971000000	   220.384000000	  352.776000000	1.491	11	274.51766585318	0.0507	-12.32995322150	0.0511	4153562167888712448	  0.4570 	0.0565	 -1.768	0.093	 -3.328	0.080	0	    46100.00000	     23.50900	14.029100	0.000600	     8534.09961	     38.72400 	15.523500	0.004900	    60185.00000	    170.60001	12.813200	0.003100	 2.7103	  10.78	 0.43	3970.5 	2.6697	1.3403	  8.13	   14.813	0.00
 0.3107	-0.2964	 0.2318	 1296.109000000	   139.863000000	  245.522000000	1.343	11	274.50275768822	0.0589	-12.32069966973	0.0570	4153562232288485504	  0.5632 	0.0673	  0.172	0.112	  1.486	0.103	0	     6287.89990	      4.85140	16.192100	0.000800	     2193.30005	     15.68200 	16.998600	0.007800	     6253.29980	     25.46900	15.271600	0.004400	 1.7270	       	     	4145.9 	      	      	  2.12	    1.195	0.00
 0.3749	-0.2512	 0.1490	 1180.964000000	    56.490000000	  193.866000000	1.629	11	274.49355667312	0.0892	-12.32039786966	0.0858	4153562232288489216	 -0.0170 	0.0962	  0.479	0.175	 -6.793	0.159	0	     4728.29980	      4.00370	16.501600	0.000900	      744.95001	     13.18700 	18.171100	0.019200	     6955.70020	     35.87900	15.156100	0.005600	 3.0150	       	     	4302.1 	      	      	      	         	0.00
 0.2849	-0.3401	 0.2846	 1060.700000000	    32.054000000	  159.758000000	1.386	10	274.50085105950	0.0761	-12.31780568837	0.0684	4153562232288489088	  0.4847 	0.0870	  0.107	0.143	 -1.354	0.132	0	     3980.69995	      3.75290	16.688500	0.001000	     1492.50000	     46.56200 	17.416600	0.033900	     4025.00000	     25.19400	15.750000	0.006800	 1.6666	       	     	4346.1 	      	      	      	         	0.01
 0.3526	-0.1134	 0.1498	  773.135000000	    45.889000000	  178.569000000	1.448	 9	274.50756650196	0.1397	-12.33150349113	0.1328	4153562167888723072	  0.9763 	0.1463	 -0.908	0.273	 -3.154	0.226	0	     2064.10010	      2.66970	17.401600	0.001400	      698.12000	     15.21300 	18.241600	0.023700	     2291.39990	     12.83200	16.361700	0.006100	 1.8799	       	     	       	      	      	      	         	0.03
 0.1016	-0.2515	 0.0576	 3594.142000000	   596.384000000	  958.363000000	1.234	11	274.49637074069	0.0391	-12.32143658287	0.0374	4153562236608228736	  0.3849 	0.0404	 -0.583	0.077	 -2.672	0.066	0	   990200.00000	    275.50000	10.699100	0.000300	   474500.00000	    795.63000 	11.160800	0.001800	   747740.00000	    780.22998	10.077500	0.001100	 1.0833	       	     	5077.8 	      	      	 21.89	  286.913	0.97
 0.1685	-0.3360	 0.1808	 2436.980000000	   424.086000000	  900.174000000	1.220	11	274.51305979407	0.0398	-12.32042345762	0.0401	4153562236608208768	  0.7824 	0.0451	 -2.112	0.075	 -3.708	0.064	0	   326310.00000	    133.89999	11.904300	0.000400	   166690.00000	    393.07001 	12.296600	0.002600	   231360.00000	    257.01999	11.351200	0.001200	 0.9454	       	     	5452.7 	      	      	  5.21	   21.632	0.00
 0.3826	-0.3199	 0.1085	 3017.226000000	   469.261000000	  595.116000000	1.245	10	274.49839948808	0.0357	-12.33010490536	0.0348	4153562202248476032	  0.7071 	0.0355	  2.076	0.065	 -1.527	0.057	0	    30988.00000	     10.27100	14.460400	0.000400	    15012.00000	     31.99100 	14.910300	0.002300	    23569.00000	     39.60400	13.831100	0.001800	 1.0792	       	     	5022.9 	2.1290	1.0667	  2.17	    2.690	0.00
 0.6463	-0.2007	 0.2509	  758.550000000	    36.234000000	   82.069000000	1.553	 9	274.51043616668	0.2105	-12.31843002187	0.2138	4153562236608216064	  0.0449 	0.1688	 -0.188	0.304	 -2.870	0.292	0	     1989.00000	      2.62210	17.441800	0.001400	      632.75000	     17.46300 	18.348300	0.030000	     2455.39990	     29.91900	16.286600	0.013200	 2.0617	       	     	       	      	      	      	         	0.49
 0.2689	-0.2739	 0.2044	  795.319000000	    26.036000000	  168.633000000	1.649	11	274.52468397553	0.1257	-12.30779052514	0.1256	4153562374047165696	  0.0349 	0.1477	  0.341	0.234	 -5.324	0.206	0	     1770.30005	      2.22590	17.568300	0.001400	      331.89999	     12.74800 	19.048900	0.041700	     2587.89990	     15.34600	16.229600	0.006400	 2.8193	       	     	       	      	      	      	         	0.00
 0.2687	-0.3249	 0.2293	  833.488000000	    34.366000000	  135.166000000	1.698	11	274.52963445617	0.1150	-12.31319027906	0.1155	4153562301007969792	 -0.1063 	0.1373	 -1.855	0.213	 -4.546	0.186	0	     2143.39990	      2.57150	17.360600	0.001300	      416.67999	     12.12500 	18.801900	0.031600	     3222.00000	     23.83700	15.991600	0.008000	 2.8103	       	     	       	      	      	      	         	0.00
 0.1477	-0.3019	 0.2279	  874.064000000	    41.322000000	  232.375000000	1.685	11	274.52667836408	0.0868	-12.32213463611	0.0878	4153562270967927424	 -0.0275 	0.1043	 -4.541	0.164	 -7.197	0.141	0	     7113.79980	      8.13870	16.058100	0.001200	      699.57001	     16.93000 	18.239300	0.026300	    11285.00000	     48.56500	14.630600	0.004700	 3.6087	       	     	3710.3 	      	      	      	         	0.00
 0.3068	-0.2998	 0.2179	  734.261000000	    25.774000000	  111.720000000	1.668	11	274.52781744762	0.1459	-12.32871128137	0.1451	4153562270967916160	 -0.1194 	0.1710	 -1.484	0.268	 -3.458	0.237	0	     1490.90002	      2.03040	17.754800	0.001500	      299.32001	     11.61300 	19.161100	0.042100	     2187.89990	     19.58400	16.411800	0.009700	 2.7492	       	     	       	      	      	      	         	0.00
 0.0250	-0.2080	 0.1313	  818.223000000	    33.126000000	  103.838000000	1.569	10	274.50926105742	0.1218	-12.30973232825	0.1099	4153562335378151296	  0.2885 	0.1190	 -0.345	0.239	 -1.618	0.200	0	     2396.10010	      2.92840	17.239600	0.001300	      608.98999	     18.38400 	18.389900	0.032800	     3150.50000	     30.34100	16.016000	0.010500	 2.3739	       	     	       	      	      	      	         	0.75
 0.4345	-0.3197	 0.1458	  820.494000000	    25.175000000	  167.058000000	1.618	10	274.52501832865	0.1249	-12.30275934755	0.1208	4153562374047172736	  0.2255 	0.1267	 -2.461	0.226	 -2.523	0.198	0	     2310.19995	      2.81560	17.279200	0.001300	      389.53000	     15.47300 	18.875000	0.043100	     3349.19995	     20.04800	15.949600	0.006500	 2.9255	       	     	       	      	      	      	         	0.00
 0.2417	-0.2946	 0.2501	 1890.121000000	   113.416000000	  237.368000000	1.541	11	274.53688102842	0.0674	-12.30123954782	0.0673	4153562374047159296	  0.1918 	0.0822	  0.453	0.126	 -1.342	0.109	0	    24656.00000	     13.04500	14.708500	0.000600	     3889.10010	     34.29100 	16.376800	0.009600	    34110.00000	    143.70000	13.429700	0.004600	 2.9470	       	     	4619.0 	2.3873	1.2450	      	         	0.00
 0.3733	-0.3013	 0.2417	  636.885000000	    23.318000000	  113.572000000	1.509	11	274.52865445931	0.1209	-12.30801606008	0.1153	4153562369727450496	  0.2965 	0.1380	 -1.162	0.225	 -3.085	0.199	0	     1777.30005	      2.79060	17.564000	0.001700	      544.85999	     23.36600 	18.510700	0.046600	     2137.10010	     18.81700	16.437400	0.009600	 2.0733	       	     	       	      	      	      	         	0.06
 0.2668	-0.3082	 0.1709	  878.913000000	    37.284000000	  121.514000000	1.708	11	274.51025755461	0.1009	-12.31004232115	0.0953	4153562339687441280	 -0.0786 	0.1095	 -3.573	0.192	 -6.499	0.167	0	     2534.89990	      2.88410	17.178500	0.001200	      438.76001	     11.76800 	18.745800	0.029100	     3891.60010	     32.02600	15.786600	0.008900	 2.9592	       	     	       	      	      	      	         	0.00
 0.2872	-0.3128	 0.2180	  542.534000000	    20.718000000	  141.115000000	1.699	11	274.53682751013	0.1663	-12.30601260359	0.1653	4153562301007975040	  0.3981 	0.1939	  1.038	0.305	 -1.472	0.268	0	     1349.80005	      2.48800	17.862700	0.002000	      247.31000	     11.93700 	19.368300	0.052400	     2046.00000	     14.49900	16.484700	0.007700	 2.8836	       	     	       	      	      	      	         	0.00
 0.2346	-0.2550	 0.2173	 1268.283000000	   303.690000000	  370.375000000	1.379	11	274.52090975434	0.0488	-12.31942199680	0.0484	4153562266648227072	  0.5642 	0.0557	  2.881	0.094	 -0.769	0.082	0	    10097.00000	      7.96120	15.677900	0.000900	     2982.50000	      9.82090 	16.664900	0.003600	    10944.00000	     29.54900	14.664000	0.002900	 2.0010	       	     	3799.5 	2.5907	1.2900	  3.57	    2.390	0.00
 0.2098	-0.3070	 0.2265	 1272.655000000	    70.681000000	  216.438000000	1.625	11	274.53740315883	0.0823	-12.31922743131	0.0838	4153562305327655552	  0.1049 	0.1004	 -4.027	0.153	 -3.042	0.132	0	    12480.00000	      9.80610	15.447900	0.000900	     1504.09998	     21.28000 	17.408200	0.015400	    18775.00000	     86.74400	14.078000	0.005000	 3.3302	       	     	4527.4 	2.4797	1.2683	      	         	0.00
 0.4576	-0.2717	 0.1486	  745.124000000	    59.987000000	   85.826000000	1.673	10	274.51627323798	0.1248	-12.31310233549	0.1206	4153562335367707648	  0.2420 	0.1254	  0.663	0.239	 -0.927	0.221	0	     2779.10010	      3.72970	17.078600	0.001500	      458.14001	      7.63730 	18.698900	0.018100	     4191.20020	     48.83400	15.706100	0.012600	 2.9928	       	     	       	      	      	      	         	0.00
 0.1810	-0.3248	 0.2385	  603.386000000	    77.273000000	  110.491000000	1.864	11	274.53612822385	0.1265	-12.31275821229	0.1259	4153562301007969664	  0.1419 	0.1553	 -3.262	0.232	 -6.898	0.198	0	    22302.00000	     36.96200	14.817500	0.001800	      773.09003	     10.00500 	18.130800	0.014100	    40803.00000	    369.29001	13.235200	0.009800	 4.8956	       	     	3325.5 	2.1877	1.5015	      	         	0.00
 0.2810	-0.3472	 0.3692	  869.891000000	    45.673000000	  235.279000000	1.565	10	274.52579555081	0.0906	-12.31453828433	0.1009	4153562266648229632	  0.2479 	0.1318	 -1.458	0.187	 -2.790	0.174	0	     4450.10010	      5.11570	16.567400	0.001200	      740.92999	     16.22300 	18.176900	0.023800	     6222.00000	     26.44500	15.277100	0.004600	 2.8998	       	     	4367.8 	      	      	      	         	0.00
 0.1650	-0.2957	 0.2034	 1594.458000000	   145.882000000	  284.089000000	1.505	11	274.52318338295	0.0550	-12.32322840156	0.0552	4153562266648222208	  0.4449 	0.0640	  1.986	0.103	  0.640	0.089	0	    13716.00000	      8.60240	15.345300	0.000700	     2627.30005	     18.01000 	16.802600	0.007400	    18018.00000	     63.42400	14.122700	0.003800	 2.6800	       	     	3777.2 	      	      	      	         	0.00
 0.3179	-0.2727	 0.2247	  980.068000000	    32.398000000	  194.075000000	1.658	11	274.52435131860	0.0957	-12.31909284084	0.0957	4153562266648229888	 -0.0721 	0.1128	  0.610	0.183	 -0.796	0.170	0	     3118.50000	      3.18190	16.953500	0.001100	      532.98999	     16.45100 	18.534600	0.033500	     4636.00000	     23.88800	15.596600	0.005600	 2.9380	       	     	4618.9 	      	      	      	         	0.00
 0.2801	-0.3741	 0.3534	  802.988000000	    83.022000000	  311.538000000	1.458	10	274.52524070684	0.0864	-12.31631715163	0.0963	4153562270967937280	  0.2104 	0.1251	 -0.416	0.177	 -5.329	0.164	0	     3139.50000	      3.90980	16.946200	0.001400	     1081.50000	     13.02600 	17.766400	0.013100	     3496.00000	     11.22200	15.903000	0.003500	 1.8633	       	     	4155.6 	      	      	      	         	0.00
