pmRApmDEcor	PlxpmRAcor	PlxpmDEcor	RFG	RFBP	RFRP	E(BR/RP)	Nper	RAdeg	e_RAdeg	DEdeg	e_DEdeg	Source	Plx	e_Plx	pmRA	e_pmRA	pmDE	e_pmDE	Dup	FG	e_FG	Gmag	e_Gmag	FBP	e_FBP	BPmag	e_BPmag	FRP	e_FRP	RPmag	e_RPmag	BP-RP	RV	e_RV	Teff	AG	E(BR-RP)	Rad	Lum	Pmemb
---	---	---	---	---	---	---	---	deg	mas	deg	mas	---	mas	mas	mas/yr	mas/yr	mas/yr	mas/yr	---	e-/s	e-/s	mag	mag	e-/s	e-/s	mag	mag	e-/s	e-/s	mag	mag	mag	km/s	km/s	K	mag	mag	solRad	solLum	---
-------	-------	-------	---------------	----------------	---------------	-----	--	---------------	------	---------------	------	-------------------	---------	------	-------	-----	-------	-----	-	---------------	-------------	---------	--------	---------------	--------------	---------	--------	---------------	-------------	---------	--------	-------	-------	-----	-------	------	------	------	---------	----
-0.2166	-0.1719	 0.4332	  949.132000000	    64.827000000	  167.791000000	1.399	12	251.74833587038	0.0996	-47.10892342321	0.0951	5939653966067483648	  0.2138 	0.1320	  0.107	0.184	 -0.369	0.164	0	     2033.59998	      2.14260	17.417700	0.001100	      627.15997	      9.67450 	18.357900	0.016700	     2217.10010	     13.21300	16.397500	0.006500	 1.9605	       	     	       	      	      	      	         	0.00
-0.1609	-0.1715	 0.4155	  686.041000000	    50.197000000	   61.463000000	1.407	12	251.74880252702	0.1513	-47.11126482427	0.1391	5939653966066480384	  0.5284 	0.1967	 -4.331	0.274	 -3.740	0.240	0	     1061.30005	      1.54700	18.123800	0.001600	      380.23999	      7.57500 	18.901200	0.021600	     1112.59998	     18.10200	17.146000	0.017700	 1.7552	       	     	       	      	      	      	         	0.00
-0.2293	-0.1456	 0.5178	 1399.196000000	    85.915000000	  128.414000000	1.327	11	251.75030883077	0.0684	-47.11430207867	0.0628	5939653970386848256	  0.4027 	0.0916	 -0.870	0.117	 -3.554	0.109	0	     5158.70020	      3.68690	16.407000	0.000800	     2292.19995	     26.68000 	16.950800	0.012600	     4551.70020	     35.44600	15.616500	0.008500	 1.3343	       	     	4742.1 	      	      	      	         	0.00
-0.1810	-0.1070	 0.4086	  558.632000000	    33.919000000	   66.766000000	1.339	12	251.75699977600	0.1682	-47.08807187597	0.1568	5939654103505455232	  0.2073 	0.2217	 -4.198	0.313	-10.140	0.267	0	      912.08002	      1.63270	18.288300	0.001900	      318.50000	      9.39010 	19.093600	0.032000	      902.32001	     13.51500	17.373500	0.016300	 1.7201	       	     	       	      	      	      	         	0.00
-0.1256	-0.0897	 0.3846	  582.043000000	    33.447000000	  101.449000000	1.382	12	251.76269616804	0.1790	-47.09222737995	0.1617	5939654107843479168	  0.4411 	0.2299	 -4.770	0.332	 -1.964	0.273	0	      894.50000	      1.53680	18.309400	0.001900	      305.70001	      9.13960 	19.138200	0.032500	      930.45001	      9.17150	17.340200	0.010700	 1.7980	       	     	       	      	      	      	         	0.00
-0.3493	-0.0671	 0.4048	 1605.402000000	   224.288000000	  340.068000000	1.315	12	251.75831353271	0.0536	-47.08934837507	0.0538	5939654107843489280	  0.3463 	0.0711	 -0.612	0.106	  0.254	0.094	0	     6272.70020	      3.90720	16.194700	0.000700	     2331.69995	     10.39600 	16.932200	0.004800	     5914.29980	     17.39100	15.332200	0.003200	 1.6000	       	     	4406.0 	      	      	      	         	0.00
-0.1706	-0.1501	 0.4222	  571.715000000	    48.349000000	   56.693000000	1.346	12	251.75912904961	0.1652	-47.08010823199	0.1502	5939654107843505920	  0.3396 	0.2185	  0.007	0.301	 -5.547	0.262	0	      919.63000	      1.60850	18.279300	0.001900	      330.42999	      6.83420 	19.053700	0.022500	      907.06000	     16.00000	17.367800	0.019200	 1.6859	       	     	       	      	      	      	         	0.00
-0.1014	-0.1652	 0.3889	  596.155000000	    34.072000000	   61.942000000	1.378	12	251.68675852888	0.1684	-47.14076619453	0.1510	5939654966836925440	  0.3515 	0.2072	 -0.612	0.302	 -1.320	0.257	0	     1009.90002	      1.69400	18.177700	0.001800	      348.16000	     10.21800 	18.996900	0.031900	     1043.59998	     16.84800	17.215600	0.017500	 1.7814	       	     	       	      	      	      	         	0.63
-0.3079	-0.1181	 0.3638	 1726.016000000	   303.442000000	  328.881000000	1.281	12	251.68679280941	0.0546	-47.13825112068	0.0510	5939654966836930432	  0.5392 	0.0702	 -2.891	0.100	 -3.158	0.087	0	     7925.60010	      4.59190	15.940800	0.000600	     3212.89990	     10.58800 	16.584100	0.003600	     6939.79980	     21.10100	15.158500	0.003300	 1.4256	       	     	4448.0 	      	      	  2.00	    1.412	0.00
-0.1741	-0.1728	 0.4343	  430.058000000	    24.557000000	   85.138000000	1.439	12	251.68044014839	0.2123	-47.15018672988	0.1877	5939654932477175936	  0.4473 	0.2967	 -8.113	0.369	 -6.534	0.324	0	      776.88000	      1.80640	18.462500	0.002500	      261.00000	     10.62800 	19.309800	0.044200	      856.73999	     10.06300	17.429800	0.012800	 1.8800	       	     	       	      	      	      	         	0.00
-0.2314	-0.1167	 0.4344	 1397.514000000	   136.502000000	  365.048000000	1.373	12	251.68219562309	0.0578	-47.14802422784	0.0571	5939654966836916608	  0.2449 	0.0766	 -0.411	0.115	 -2.618	0.101	0	     5419.20020	      3.87770	16.353500	0.000800	     1885.69995	     13.81400 	17.162700	0.008000	     5556.89990	     15.22200	15.399800	0.003000	 1.7629	       	     	4184.9 	      	      	      	         	0.61
-0.1160	-0.1608	 0.3974	  783.247000000	    60.930000000	  131.144000000	1.366	12	251.69440448030	0.1362	-47.14873624752	0.1238	5939654966836902016	  0.4073 	0.1686	 -6.669	0.249	 -6.387	0.212	0	     1419.69995	      1.81260	17.807800	0.001400	      513.97998	      8.43550 	18.574000	0.017800	     1425.59998	     10.87000	16.876900	0.008300	 1.6971	       	     	       	      	      	      	         	0.00
