pmRApmDEcor	PlxpmRAcor	PlxpmDEcor	RFG	RFBP	RFRP	E(BR/RP)	Nper	RAdeg	e_RAdeg	DEdeg	e_DEdeg	Source	Plx	e_Plx	pmRA	e_pmRA	pmDE	e_pmDE	Dup	FG	e_FG	Gmag	e_Gmag	FBP	e_FBP	BPmag	e_BPmag	FRP	e_FRP	RPmag	e_RPmag	BP-RP	RV	e_RV	Teff	AG	E(BR-RP)	Rad	Lum	Pmemb
---	---	---	---	---	---	---	---	deg	mas	deg	mas	---	mas	mas	mas/yr	mas/yr	mas/yr	mas/yr	---	e-/s	e-/s	mag	mag	e-/s	e-/s	mag	mag	e-/s	e-/s	mag	mag	mag	km/s	km/s	K	mag	mag	solRad	solLum	---
-------	-------	-------	---------------	----------------	---------------	-----	--	---------------	------	---------------	------	-------------------	---------	------	-------	-----	-------	-----	-	---------------	-------------	---------	--------	---------------	--------------	---------	--------	---------------	-------------	---------	--------	-------	-------	-----	-------	------	------	------	---------	----
-0.4355	-0.3962	 0.4184	  648.528000000	    46.742000000	  116.026000000	1.339	16	  4.43938875882	0.1463	 52.16616643588	0.1555	 395111122652480384	  0.6683 	0.2911	 -2.016	0.342	 -1.887	0.259	0	      504.95001	      0.77860	18.930300	0.001700	      174.23000	      3.72760 	19.748600	0.023200	      501.92999	      4.32610	18.010300	0.009400	 1.7383	       	     	       	      	      	      	         	0.06
-0.5715	-0.4426	 0.5034	 5380.253000000	   842.493000000	 1187.390000000	1.231	17	  4.44614791433	0.0176	 52.16592579326	0.0184	 395111118350606336	  2.2485 	0.0349	 -8.671	0.037	 -8.397	0.030	0	    33382.00000	      6.20460	14.379600	0.000200	    15758.00000	     18.70400 	14.857600	0.001300	    25350.00000	     21.34900	13.752000	0.000900	 1.1056	       	     	4906.0 	0.0160	0.0080	  0.75	    0.294	0.00
-0.4735	-0.4930	 0.4375	  357.949000000	    21.510000000	   42.524000000	1.276	15	  4.44462879142	0.2686	 52.16091784350	0.2570	 395111118350587520	  1.1761 	0.5838	 -3.714	0.695	 -0.544	0.438	0	      215.02000	      0.60070	19.857200	0.003000	       96.73400	      4.49720 	20.387400	0.050500	      177.56000	      4.17550	19.138600	0.025500	 1.2489	       	     	       	      	      	      	         	0.01
-0.6192	-0.5892	 0.6630	  874.806000000	    51.494000000	  201.652000000	1.354	11	  4.43235511153	0.1427	 52.17089091480	0.1523	 395111122652479488	  0.3976 	0.3222	 -5.475	0.294	 -4.048	0.257	1	      855.21997	      0.97761	18.358200	0.001200	      228.64000	      4.44020 	19.453500	0.021100	      929.13000	      4.60760	17.341700	0.005400	 2.1118	       	     	       	      	      	      	         	0.00
-0.3878	-0.3873	 0.2429	  291.866000000	    20.690000000	   24.510000000	1.231	16	  4.44325622544	0.3088	 52.16947074512	0.2851	 395111496307736704	 -0.7537 	0.5466	 -1.733	0.773	 -0.894	0.489	0	      181.10001	      0.62049	20.043600	0.003700	       91.66700	      4.43040 	20.445900	0.052500	      131.20000	      5.35310	19.467100	0.044300	 0.9788	       	     	       	      	      	      	         	0.00
-0.4722	-0.3355	 0.3247	  665.413000000	    48.461000000	   81.802000000	1.241	16	  4.44814747372	0.1520	 52.18857767608	0.1573	 395111534969337984	  0.4366 	0.2760	 -1.795	0.318	  0.955	0.266	0	      511.59000	      0.76883	18.916100	0.001600	      260.14999	      5.36820 	19.313300	0.022400	      374.60001	      4.57930	18.328000	0.013300	 0.9853	       	     	       	      	      	      	         	0.00
-0.4839	-0.3744	 0.4520	 1912.594000000	   259.716000000	  368.001000000	1.255	17	  4.45024043276	0.0505	 52.17506740646	0.0518	 395111500609601408	  0.7248 	0.1044	  7.708	0.115	  1.209	0.087	0	     2664.80005	      1.39330	17.124200	0.000600	     1147.59998	      4.41860 	17.701900	0.004200	     2196.50000	      5.96880	16.407600	0.003000	 1.2943	       	     	       	      	      	      	         	0.00
-0.5328	-0.4173	 0.4934	 3326.299000000	   516.201000000	  907.563000000	1.247	17	  4.44769963063	0.0276	 52.17674544296	0.0286	 395111500609601024	  0.2483 	0.0563	 -2.592	0.061	 -0.231	0.048	0	     9046.79980	      2.71980	15.797100	0.000300	     4071.69995	      7.88780 	16.327000	0.002100	     7214.00000	      7.94870	15.116500	0.001200	 1.2105	       	     	4902.6 	      	      	      	         	0.00
-0.4980	-0.4209	 0.4437	 1413.507000000	   113.337000000	  226.092000000	1.233	17	  4.43003638638	0.0723	 52.17557752511	0.0712	 395111500609600768	  0.4570 	0.1467	 -6.978	0.166	 -3.080	0.119	0	     1441.80005	      1.02000	17.791100	0.000800	      660.54999	      5.82820 	18.301600	0.009600	     1117.30005	      4.94200	17.141500	0.004800	 1.1602	       	     	       	      	      	      	         	0.00
-0.4792	-0.4561	 0.3941	  655.530000000	    49.001000000	   95.411000000	1.260	16	  4.44984262622	0.1398	 52.18397168155	0.1482	 395111534969338368	  0.1800 	0.2825	 -1.012	0.333	 -1.236	0.248	0	      569.62000	      0.86895	18.799400	0.001700	      268.92001	      5.48810 	19.277300	0.022200	      449.07001	      4.70670	18.131100	0.011400	 1.1462	       	     	       	      	      	      	         	0.00
