pmRApmDEcor	PlxpmRAcor	PlxpmDEcor	RFG	RFBP	RFRP	E(BR/RP)	Nper	RAdeg	e_RAdeg	DEdeg	e_DEdeg	Source	Plx	e_Plx	pmRA	e_pmRA	pmDE	e_pmDE	Dup	FG	e_FG	Gmag	e_Gmag	FBP	e_FBP	BPmag	e_BPmag	FRP	e_FRP	RPmag	e_RPmag	BP-RP	RV	e_RV	Teff	AG	E(BR-RP)	Rad	Lum	Pmemb
---	---	---	---	---	---	---	---	deg	mas	deg	mas	---	mas	mas	mas/yr	mas/yr	mas/yr	mas/yr	---	e-/s	e-/s	mag	mag	e-/s	e-/s	mag	mag	e-/s	e-/s	mag	mag	mag	km/s	km/s	K	mag	mag	solRad	solLum	---
-------	-------	-------	---------------	----------------	---------------	-----	--	---------------	------	---------------	------	-------------------	---------	------	-------	-----	-------	-----	-	---------------	-------------	---------	--------	---------------	--------------	---------	--------	---------------	-------------	---------	--------	-------	-------	-----	-------	------	------	------	---------	----
 0.1757	 0.0047	-0.0611	 1072.757000000	   192.204000000	  350.910000000	1.360	14	160.47435596929	0.0392	-59.33886222611	0.0429	5350381742961140480	  0.6700 	0.0451	 -8.509	0.091	  5.141	0.097	0	     7082.50000	      6.60210	16.062900	0.001000	     3859.69995	     20.08100 	16.385000	0.005600	     5770.10010	     16.44300	15.359000	0.003100	 1.0260	       	     	5252.6 	0.3865	0.1560	  0.98	    0.657	0.00
 0.2217	 0.0484	-0.1461	 4377.973000000	  1062.180000000	  947.241000000	1.214	15	160.48134996383	0.0165	-59.34693058034	0.0185	5350381704281348352	  1.1612 	0.0198	  3.032	0.037	 -8.643	0.044	0	    82405.00000	     18.82300	13.398500	0.000200	    46571.00000	     43.84500 	13.681100	0.001000	    53466.00000	     56.44400	12.941700	0.001100	 0.7394	       	     	6130.7 	0.1802	0.0940	  1.37	    2.377	0.00
 0.3501	-0.0809	 0.0406	 5936.166000000	   777.411000000	 1010.231000000	1.220	14	160.45879078198	0.0170	-59.34028407510	0.0201	5350381708601399680	  0.5133 	0.0181	 -5.675	0.039	  1.015	0.045	0	    82362.00000	     13.87500	13.399000	0.000200	    43706.00000	     56.21900 	13.750000	0.001400	    56815.00000	     56.24000	12.875800	0.001100	 0.8743	       	     	5759.4 	      	      	  3.53	   12.360	0.00
 0.2611	 0.0358	-0.0736	 2920.668000000	   334.326000000	  466.033000000	1.278	17	160.52975021731	0.0219	-59.32456513388	0.0227	5350381811680626432	  0.3794 	0.0245	 -6.178	0.048	  1.423	0.051	0	    20008.00000	      6.85040	14.935400	0.000400	    11605.00000	     34.71000 	15.189800	0.003200	    13971.00000	     29.97900	14.398800	0.002300	 0.7910	       	     	5859.7 	      	      	  2.27	    5.464	0.00
 0.2166	 0.0638	-0.1132	 3033.664000000	   324.295000000	  840.946000000	1.430	17	160.52023845564	0.0226	-59.32872445557	0.0235	5350381811666316288	  0.2244 	0.0258	 -5.426	0.050	  2.682	0.055	0	    30973.00000	     10.21000	14.460900	0.000400	     9404.79980	     29.00100 	15.418000	0.003300	    34902.00000	     41.50400	13.404800	0.001300	 2.0132	       	     	3705.8 	1.4760	0.7553	 17.06	   49.439	0.00
 0.1383	 0.0850	 0.0289	 1502.281000000	    64.260000000	  129.777000000	1.682	16	160.48643343188	0.0484	-59.32488093963	0.0544	5350381846040358144	  0.0833 	0.0556	 -5.721	0.105	  2.681	0.120	0	     7577.20020	      5.04380	15.989600	0.000700	     1783.50000	     27.75400 	17.223200	0.016900	    10963.00000	     84.47200	14.662100	0.008400	 2.5611	       	     	3908.4 	      	      	      	         	0.00
 0.2388	 0.0195	 0.0122	 3739.046000000	   418.483000000	  724.622000000	1.291	17	160.49399188579	0.0202	-59.30864011680	0.0219	5350381876073959296	  0.5608 	0.0224	 -5.330	0.044	  2.280	0.048	0	    29307.00000	      7.83800	14.520900	0.000300	    12136.00000	     29.00000 	15.141200	0.002600	    25711.00000	     35.48100	13.736600	0.001500	 1.4046	       	     	4854.9 	      	      	  2.90	    4.206	0.00
 0.1978	-0.0433	-0.0194	 1804.753000000	   202.993000000	  540.179000000	1.351	16	160.50713250232	0.0240	-59.33980287726	0.0272	5350381777320884352	  0.3718 	0.0276	 -6.306	0.054	  1.733	0.061	0	    15487.00000	      8.58120	15.213400	0.000600	     7607.00000	     37.47400 	15.648300	0.005300	    13321.00000	     24.66000	14.450600	0.002000	 1.1978	       	     	4920.0 	      	      	  3.07	    4.976	0.00
 0.2292	-0.0272	-0.0291	 3032.171000000	   394.393000000	  742.758000000	1.403	17	160.52416901795	0.0203	-59.31912084337	0.0214	5350381811680625664	  0.3196 	0.0233	 -9.334	0.046	  4.210	0.049	0	    25464.00000	      8.39800	14.673500	0.000400	     9058.40039	     22.96800 	15.458800	0.002800	    26656.00000	     35.88700	13.697500	0.001500	 1.7613	       	     	3993.8 	1.2943	0.6480	  8.48	   16.470	0.00
 0.2332	-0.0335	-0.0406	 3549.001000000	  1007.647000000	  782.795000000	1.211	17	160.53044098949	0.0154	-59.32288462906	0.0166	5350381811680626560	  0.4521 	0.0181	 -6.355	0.034	  3.641	0.036	0	    95616.00000	     26.94200	13.237000	0.000300	    58829.00000	     58.38300 	13.427400	0.001100	    56972.00000	     72.78100	12.872800	0.001400	 0.5546	       	     	6949.3 	      	      	  2.94	   18.140	0.00
 0.0072	 0.0450	-0.0744	  728.443000000	   347.104000000	  489.851000000	1.299	17	160.74612732868	0.1839	-59.31037031983	0.1838	5350401671610647936	  1.0330 	0.2059	 -7.163	0.372	  4.109	0.373	1	    20491.00000	     28.12900	14.909500	0.001500	    10254.00000	     29.54100 	15.324200	0.003100	    16355.00000	     33.38800	14.227800	0.002200	 1.0964	       	     	4971.1 	0.7813	0.3807	      	         	0.00
 0.0377	 0.1080	-0.1045	 4274.023000000	  1003.246000000	 1072.715000000	1.225	17	160.77052164177	0.0159	-59.31201442839	0.0148	5350401671610660480	  0.5905 	0.0168	-11.719	0.031	  3.874	0.031	0	    88182.00000	     20.63200	13.324900	0.000300	    46498.00000	     46.34700 	13.682800	0.001100	    61507.00000	     57.33700	12.789600	0.001000	 0.8932	       	     	5542.1 	      	      	  3.46	   10.169	0.00
 0.1390	 0.2029	-0.0242	 1539.653000000	   290.085000000	  294.670000000	1.293	17	160.85404625027	0.0313	-59.28485180160	0.0306	5350403046000279424	  0.8498 	0.0370	 -7.948	0.065	  2.721	0.063	0	     8370.09961	      5.43640	15.881500	0.000700	     4433.50000	     15.28300 	16.234500	0.003700	     6387.10010	     21.67500	15.248700	0.003700	 0.9859	       	     	5350.2 	0.0965	0.0535	  0.80	    0.476	0.00
 0.0778	 0.1589	 0.0171	 1399.770000000	   181.732000000	  203.374000000	1.343	17	160.84136545033	0.0391	-59.27884415801	0.0370	5350403046000280064	  0.5006 	0.0458	 -3.404	0.083	  6.778	0.077	0	     5888.10010	      4.20650	16.263400	0.000800	     2946.60010	     16.21400 	16.678100	0.006000	     4963.20020	     24.40400	15.522500	0.005300	 1.1556	       	     	4990.8 	1.0485	0.5220	  1.36	    1.026	0.00
 0.1168	 0.1877	-0.1010	 1605.683000000	   318.298000000	  530.448000000	1.263	17	160.84925435868	0.0249	-59.28203924875	0.0234	5350403046000280448	  0.8414 	0.0288	 -9.605	0.051	  5.125	0.049	0	    14142.00000	      8.80760	15.312100	0.000700	     7601.39990	     23.88100 	15.649200	0.003400	    10254.00000	     19.33100	14.734700	0.002000	 0.9145	       	     	5400.0 	0.2000	0.1017	  1.03	    0.816	0.00
 0.0064	 0.1071	-0.0292	 1614.912000000	   218.076000000	  250.565000000	1.329	17	160.81147430574	0.0328	-59.29750027380	0.0319	5350403114719712640	  0.4685 	0.0368	 -6.059	0.068	  3.327	0.065	0	     8496.40039	      5.26120	15.865300	0.000700	     4541.00000	     20.82300 	16.208500	0.005000	     6749.79980	     26.93800	15.188700	0.004300	 1.0198	       	     	5219.5 	      	      	  1.56	    1.621	0.00
 0.0378	 0.1302	-0.0547	 3633.987000000	   737.229000000	  896.920000000	1.234	17	160.81822260744	0.0924	-59.30053616772	0.0858	5350403114719712384	  0.3764 	0.1031	 -6.733	0.188	  3.648	0.180	0	    40958.00000	     11.27100	14.157500	0.000300	    21773.00000	     29.53300 	14.506600	0.001500	    28766.00000	     32.07200	13.614700	0.001200	 0.8919	       	     	5471.5 	      	      	      	         	0.33
-0.0137	 0.1546	-0.1213	 3522.166000000	   524.761000000	  439.746000000	1.239	17	160.76727338410	0.0211	-59.29853914016	0.0201	5350403149079425536	  0.3369 	0.0238	 -5.950	0.044	  2.785	0.043	1	    25593.00000	      7.26620	14.668100	0.000300	    14243.00000	     27.14100 	14.967400	0.002100	    17464.00000	     39.71500	14.156500	0.002500	 0.8109	       	     	5790.7 	1.0027	0.5275	  2.96	    8.899	0.00
-0.0863	 0.0749	 0.0162	 1226.905000000	   137.982000000	  141.697000000	1.359	16	160.77560696491	0.0453	-59.29676573286	0.0412	5350403149079431424	  0.4643 	0.0504	 -7.014	0.094	  2.447	0.086	0	     5083.39990	      4.14320	16.423000	0.000900	     2696.50000	     19.54200 	16.774400	0.007900	     4210.89990	     29.71700	15.701000	0.007700	 1.0734	       	     	5063.4 	0.8290	0.4360	  1.31	    1.015	0.61
 0.0806	 0.0865	-0.0849	 2894.725000000	   502.467000000	  293.107000000	1.242	17	160.78560552959	0.0210	-59.29713660296	0.0206	5350403183439174784	  0.3456 	0.0238	 -6.044	0.044	  2.409	0.044	0	    23789.00000	      8.21800	14.747400	0.000400	    14597.00000	     29.05000 	14.940700	0.002200	    14945.00000	     50.98900	14.325700	0.003700	 0.6151	       	     	6592.7 	1.2913	0.6520	  2.13	    7.702	0.00
