pmRApmDEcor	PlxpmRAcor	PlxpmDEcor	RFG	RFBP	RFRP	E(BR/RP)	Nper	RAdeg	e_RAdeg	DEdeg	e_DEdeg	Source	Plx	e_Plx	pmRA	e_pmRA	pmDE	e_pmDE	Dup	FG	e_FG	Gmag	e_Gmag	FBP	e_FBP	BPmag	e_BPmag	FRP	e_FRP	RPmag	e_RPmag	BP-RP	RV	e_RV	Teff	AG	E(BR-RP)	Rad	Lum	Pmemb
---	---	---	---	---	---	---	---	deg	mas	deg	mas	---	mas	mas	mas/yr	mas/yr	mas/yr	mas/yr	---	e-/s	e-/s	mag	mag	e-/s	e-/s	mag	mag	e-/s	e-/s	mag	mag	mag	km/s	km/s	K	mag	mag	solRad	solLum	---
-------	-------	-------	---------------	----------------	---------------	-----	--	---------------	------	---------------	------	-------------------	---------	------	-------	-----	-------	-----	-	---------------	-------------	---------	--------	---------------	--------------	---------	--------	---------------	-------------	---------	--------	-------	-------	-----	-------	------	------	------	---------	----
 0.0031	-0.3237	 0.0781	 1789.235000000	   215.650000000	  629.195000000	1.288	17	337.49271229979	0.0314	 66.31614410677	0.0344	2206759251866955264	  0.4876 	0.0382	 -0.233	0.065	 -1.115	0.064	0	     7762.00000	      4.33810	15.963400	0.000600	     3136.89990	     14.54600 	16.610200	0.005000	     6861.00000	     10.90400	15.171000	0.001700	 1.4392	       	     	4424.7 	      	      	  2.22	    1.708	0.00
-0.0463	-0.2395	 0.0784	 4229.937000000	   576.312000000	 1324.012000000	1.259	18	337.50579915596	0.0145	 66.31490852026	0.0151	2206759251866955776	  2.0336 	0.0169	 15.041	0.029	 -2.149	0.027	0	    50152.00000	     11.85600	13.937700	0.000300	    21092.00000	     36.59800 	14.541100	0.001900	    42025.00000	     31.74100	13.203100	0.000800	 1.3379	       	     	4936.6 	0.9590	0.4912	  1.00	    0.536	0.00
-0.0944	-0.2558	 0.0352	 1311.487000000	   106.986000000	  232.666000000	1.322	17	337.52259692171	0.0567	 66.32166697947	0.0636	2206759247566448768	  0.4351 	0.0652	  0.022	0.108	 -0.694	0.110	0	     3021.39990	      2.30380	16.987800	0.000800	     1084.09998	     10.13300 	17.763800	0.010100	     2911.10010	     12.51200	16.101800	0.004700	 1.6620	       	     	4256.0 	      	      	      	         	0.00
-0.0308	-0.0249	 0.0702	  967.135000000	    62.797000000	  270.500000000	1.466	17	337.58215535474	0.0756	 66.33008024215	0.0775	2206759320586433920	  4.4059 	0.0801	 -0.908	0.157	-13.943	0.143	0	     2085.19995	      2.15610	17.390500	0.001100	      428.06000	      6.81660 	18.772600	0.017300	     2628.19995	      9.71630	16.212800	0.004000	 2.5599	       	     	       	      	      	      	         	0.00
-0.1793	-0.0936	 0.0151	 1365.689000000	   127.362000000	  355.714000000	1.378	16	337.57748297145	0.0478	 66.34015577120	0.0507	2206759389305909376	  0.8040 	0.0520	  0.903	0.096	 -7.617	0.091	0	     4517.10010	      3.30760	16.551200	0.000800	     1294.40002	     10.16300 	17.571200	0.008500	     4928.00000	     13.85400	15.530200	0.003100	 2.0410	       	     	4199.1 	      	      	  1.21	    0.409	0.00
-0.1052	-0.1452	 0.0150	  708.920000000	    37.834000000	   94.857000000	1.358	16	337.53246664890	0.1191	 66.31986585475	0.1276	2206759350645663104	  0.2501 	0.1294	 -2.809	0.235	  1.683	0.221	0	     1058.50000	      1.49310	18.126600	0.001500	      373.98001	      9.88470 	18.919300	0.028700	     1063.80005	     11.21500	17.194800	0.011400	 1.7245	       	     	       	      	      	      	         	0.00
-0.2170	-0.0898	-0.0535	  547.257000000	    37.223000000	  123.134000000	1.400	17	337.60707135524	0.1468	 66.32794061642	0.1392	2206759316285926528	  0.8159 	0.1426	 -5.148	0.299	 -1.742	0.283	0	      824.02002	      1.50570	18.398500	0.002000	      229.33000	      6.16110 	19.450200	0.029200	      924.14001	      7.50520	17.347600	0.008800	 2.1027	       	     	       	      	      	      	         	0.00
-0.0922	-0.1011	 0.0238	  497.694000000	    30.099000000	   62.242000000	1.386	16	337.54332336100	0.1719	 66.32890762832	0.1889	2206759350645665408	  0.5740 	0.1816	 -5.547	0.336	 -1.161	0.323	0	      621.15002	      1.24810	18.705400	0.002200	      208.33000	      6.92150 	19.554500	0.036100	      652.44000	     10.48200	17.725600	0.017400	 1.8289	       	     	       	      	      	      	         	0.00
-0.0934	-0.1085	-0.0009	  646.998000000	    26.015000000	  104.494000000	1.376	16	337.53681597440	0.1367	 66.33068622429	0.1559	2206759350645666048	  0.2986 	0.1547	 -3.354	0.268	 -0.865	0.253	0	      848.33002	      1.31120	18.366900	0.001700	      273.95001	     10.53100 	19.257200	0.041700	      893.58002	      8.55150	17.384100	0.010400	 1.8731	       	     	       	      	      	      	         	0.00
-0.0918	-0.1275	 0.0221	  451.336000000	    23.398000000	   66.569000000	1.378	16	337.54988804356	0.1911	 66.33221574304	0.2102	2206759350645666432	 -0.0435 	0.2069	 -2.667	0.381	 -1.462	0.359	0	      528.83002	      1.17170	18.880100	0.002400	      177.67000	      7.59360 	19.727300	0.046400	      550.98999	      8.27700	17.909100	0.016300	 1.8183	       	     	       	      	      	      	         	0.00
