pmRApmDEcor	PlxpmRAcor	PlxpmDEcor	RFG	RFBP	RFRP	E(BR/RP)	Nper	RAdeg	e_RAdeg	DEdeg	e_DEdeg	Source	Plx	e_Plx	pmRA	e_pmRA	pmDE	e_pmDE	Dup	FG	e_FG	Gmag	e_Gmag	FBP	e_FBP	BPmag	e_BPmag	FRP	e_FRP	RPmag	e_RPmag	BP-RP	RV	e_RV	Teff	AG	E(BR-RP)	Rad	Lum	Pmemb
---	---	---	---	---	---	---	---	deg	mas	deg	mas	---	mas	mas	mas/yr	mas/yr	mas/yr	mas/yr	---	e-/s	e-/s	mag	mag	e-/s	e-/s	mag	mag	e-/s	e-/s	mag	mag	mag	km/s	km/s	K	mag	mag	solRad	solLum	---
-------	-------	-------	---------------	----------------	---------------	-----	--	---------------	------	---------------	------	-------------------	---------	------	-------	-----	-------	-----	-	---------------	-------------	---------	--------	---------------	--------------	---------	--------	---------------	-------------	---------	--------	-------	-------	-----	-------	------	------	------	---------	----
-0.1928	 0.0142	-0.0914	 2923.436000000	   357.337000000	  720.523000000	1.260	16	299.83918572419	0.0197	 30.90040033474	0.0280	2030486784702932992	  0.6197 	0.0302	 -0.368	0.049	  1.137	0.058	0	    14880.00000	      5.09000	15.256800	0.000400	     6450.20020	     18.05100 	15.827500	0.003000	    12292.00000	     17.06000	14.537900	0.001500	 1.2896	       	     	4870.8 	      	      	  1.85	    1.742	0.00
-0.1629	-0.0816	-0.1162	  740.625000000	    44.506000000	   64.656000000	1.388	16	299.83987244393	0.0865	 30.90403950552	0.1164	2030486784702935936	  0.3122 	0.1298	 -5.665	0.219	-10.396	0.240	0	     1255.30005	      1.69490	17.941500	0.001500	      417.39001	      9.37810 	18.800000	0.024400	     1325.50000	     20.50100	16.955900	0.016800	 1.8441	       	     	       	      	      	      	         	0.00
-0.1959	-0.0912	-0.1057	 1996.516000000	   127.252000000	  107.333000000	1.335	16	299.83623854222	0.0237	 30.90334775787	0.0331	2030486784702935424	  0.8585 	0.0363	  1.926	0.057	  9.061	0.068	0	    10336.00000	      5.17720	15.652400	0.000500	     4819.79980	     37.87600 	16.143800	0.008500	     8978.90039	     83.65500	14.878900	0.010100	 1.2650	       	     	4822.0 	0.9795	0.4760	  1.15	    0.639	0.00
-0.1964	-0.0521	-0.1168	 1183.055000000	    74.909000000	  282.409000000	1.335	16	299.83678387345	0.0553	 30.90571960103	0.0774	2030486784702936832	  0.0590 	0.0833	 -2.554	0.134	 -4.980	0.160	0	     2167.30005	      1.83200	17.348600	0.000900	      772.13000	     10.30800 	18.132200	0.014500	     2120.19995	      7.50770	16.446000	0.003800	 1.6862	       	     	       	      	      	      	         	0.00
-0.1515	-0.0081	 0.0246	 2359.852000000	   164.097000000	  643.772000000	1.413	15	299.83980586943	0.0268	 30.90629550457	0.0374	2030486784702937344	  0.3502 	0.0426	 -1.878	0.064	 -3.664	0.081	0	    10873.00000	      4.60730	15.597500	0.000500	     2659.19995	     16.20500 	16.789500	0.006600	    12705.00000	     19.73500	14.502000	0.001700	 2.2875	       	     	3479.0 	2.0912	1.0328	  7.99	    8.433	0.00
-0.1631	-0.0146	-0.1155	  933.786000000	    30.559000000	  241.411000000	1.503	16	299.84207948753	0.0750	 30.90191242642	0.1027	2030486780361700992	  0.0311 	0.1130	 -2.679	0.191	 -4.899	0.212	0	     1393.80005	      1.49270	17.827800	0.001200	      286.91000	      9.38860 	19.207000	0.035500	     1808.59998	      7.49190	16.618600	0.004500	 2.5885	       	     	       	      	      	      	         	0.00
-0.2111	-0.0242	-0.1481	  883.469000000	    42.628000000	  125.451000000	1.354	15	299.76871137820	0.0811	 30.88153303146	0.1055	2030487055239490432	  0.3191 	0.1225	 -1.106	0.198	 -1.680	0.218	0	     1332.19995	      1.50790	17.877000	0.001200	      456.17999	     10.70100 	18.703600	0.025500	     1347.90002	     10.74400	16.937800	0.008700	 1.7658	       	     	       	      	      	      	         	0.00
-0.1709	-0.2159	-0.1415	  577.459000000	    25.016000000	   41.426000000	1.345	15	299.77384593837	0.1238	 30.88574671475	0.1542	2030487055239508864	  0.5032 	0.1863	  0.407	0.291	 -3.087	0.317	0	      762.40002	      1.32030	18.482900	0.001900	      249.14999	      9.95950 	19.360300	0.043400	      776.34003	     18.74000	17.536800	0.026200	 1.8235	       	     	       	      	      	      	         	0.00
-0.1780	-0.1030	-0.1391	  837.147000000	    29.079000000	  118.588000000	1.430	15	299.72461442522	0.0812	 30.87965940607	0.1073	2030487192678426880	 -0.2304 	0.1266	 -2.600	0.202	 -4.429	0.222	0	     1408.19995	      1.68220	17.816700	0.001300	      388.51999	     13.36100 	18.877800	0.037300	     1624.69995	     13.70000	16.735000	0.009200	 2.1428	       	     	       	      	      	      	         	0.00
-0.0964	-0.0160	-0.0501	  644.784000000	    30.481000000	   69.905000000	1.376	14	299.73392701216	0.1016	 30.88065706349	0.1405	2030487192678433536	  0.1937 	0.1668	 -2.241	0.261	 -6.042	0.312	0	      978.71997	      1.51790	18.211700	0.001700	      347.70999	     11.40700 	18.998400	0.035600	      998.71997	     14.28700	17.263300	0.015500	 1.7350	       	     	       	      	      	      	         	0.36
