pmRApmDEcor	PlxpmRAcor	PlxpmDEcor	RFG	RFBP	RFRP	E(BR/RP)	Nper	RAdeg	e_RAdeg	DEdeg	e_DEdeg	Source	Plx	e_Plx	pmRA	e_pmRA	pmDE	e_pmDE	Dup	FG	e_FG	Gmag	e_Gmag	FBP	e_FBP	BPmag	e_BPmag	FRP	e_FRP	RPmag	e_RPmag	BP-RP	RV	e_RV	Teff	AG	E(BR-RP)	Rad	Lum	Pmemb
---	---	---	---	---	---	---	---	deg	mas	deg	mas	---	mas	mas	mas/yr	mas/yr	mas/yr	mas/yr	---	e-/s	e-/s	mag	mag	e-/s	e-/s	mag	mag	e-/s	e-/s	mag	mag	mag	km/s	km/s	K	mag	mag	solRad	solLum	---
-------	-------	-------	---------------	----------------	---------------	-----	--	---------------	------	---------------	------	-------------------	---------	------	-------	-----	-------	-----	-	---------------	-------------	---------	--------	---------------	--------------	---------	--------	---------------	-------------	---------	--------	-------	-------	-----	-------	------	------	------	---------	----
 0.0144	 0.1789	 0.2709	  824.780000000	   168.486000000	  139.385000000	1.236	11	 29.32830175025	0.0790	 54.07754031896	0.0739	 408296427430983040	  0.4023 	0.0906	 -0.665	0.205	  0.151	0.184	0	     2590.50000	      3.14080	17.154900	0.001300	     1251.19995	      7.42600 	17.608100	0.006400	     1949.69995	     13.98800	16.537000	0.007800	 1.0711	       	     	       	      	      	      	         	0.00
 0.0821	 0.1425	 0.1685	  522.183000000	    57.887000000	   90.817000000	1.224	10	 29.34723723692	0.1428	 54.07055287368	0.1430	 408296363011420416	  0.3714 	0.1586	 -1.650	0.364	 -1.135	0.380	0	     1020.70001	      1.95460	18.166200	0.002100	      515.02002	      8.89710 	18.571800	0.018800	      734.37000	      8.08630	17.597100	0.012000	 0.9747	       	     	       	      	      	      	         	0.05
 0.0731	 0.2824	 0.2470	  506.874000000	    49.663000000	   75.652000000	1.218	10	 29.33085941985	0.1586	 54.07623249594	0.1382	 408296427430978944	 -0.0157 	0.1738	 -1.278	0.409	 -1.489	0.356	0	      936.34998	      1.84730	18.259800	0.002100	      442.28000	      8.90580 	18.737100	0.021900	      698.07001	      9.22740	17.652200	0.014400	 1.0850	       	     	       	      	      	      	         	0.01
 0.0513	 0.1797	 0.2366	  891.589000000	   151.762000000	  169.850000000	1.266	10	 29.34782099571	0.1216	 54.07671289763	0.1229	 408296427430978816	  0.4174 	0.1392	  1.754	0.317	 -3.199	0.344	0	     2631.39990	      2.95130	17.137900	0.001200	     1209.80005	      7.97160 	17.644600	0.007200	     2121.19995	     12.48900	16.445500	0.006400	 1.1992	       	     	       	      	      	      	         	0.00
-0.3620	 0.5247	-0.1398	  235.422000000	    23.793000000	   39.579000000	1.171	 9	 29.36960703651	0.4863	 54.08215996955	0.3384	 408296393074419200	  1.0952 	0.4307	  3.235	1.295	 -1.216	0.889	0	      357.67001	      1.51930	19.304700	0.004600	      163.45000	      6.86940 	19.817900	0.045600	      255.24001	      6.44900	18.744500	0.027400	 1.0734	       	     	       	      	      	      	         	0.00
 0.0804	 0.1922	 0.1657	  416.527000000	    29.162000000	   56.545000000	1.183	10	 29.34432283412	0.1739	 54.08445279525	0.1677	 408296466087281664	  0.3110 	0.1969	  2.672	0.448	 -1.566	0.468	0	      744.29999	      1.78690	18.509000	0.002600	      317.78000	     10.89700 	19.096100	0.037200	      562.84998	      9.95400	17.885900	0.019200	 1.2101	       	     	       	      	      	      	         	0.00
 0.0476	 0.1321	 0.2590	 1043.790000000	   206.794000000	  212.542000000	1.250	10	 29.34702187058	0.0451	 54.08744380549	0.0450	 408296466090634368	  1.1936 	0.0513	 -4.338	0.115	 -2.419	0.123	0	     7240.70020	      6.93690	16.038900	0.001000	     3050.30005	     14.75000 	16.640500	0.005300	     6001.70020	     28.23800	15.316200	0.005100	 1.3243	       	     	4993.5 	0.2930	0.2015	  0.63	    0.222	0.00
 0.0668	 0.1588	 0.2010	  614.526000000	    71.514000000	  101.472000000	1.219	10	 29.34407823839	0.1069	 54.08564210550	0.1050	 408296466090634624	  0.5161 	0.1220	 -2.512	0.278	  0.261	0.293	0	     1679.19995	      2.73250	17.625600	0.001800	      756.01001	     10.57200 	18.155100	0.015200	     1291.50000	     12.72800	16.984200	0.010700	 1.1709	       	     	       	      	      	      	         	0.00
 0.0670	 0.1655	 0.2217	 1138.306000000	   176.176000000	  220.546000000	1.219	10	 29.34377812327	0.0652	 54.07794426572	0.0650	 408296431730896384	  0.3102 	0.0746	 -2.844	0.169	 -0.428	0.179	0	     3541.19995	      3.11100	16.815500	0.001000	     1795.00000	     10.18900 	17.216200	0.006200	     2520.69995	     11.43000	16.258100	0.004900	 0.9581	       	     	5373.0 	0.7025	0.3332	      	         	0.00
 0.0156	 0.1911	 0.2611	  706.523000000	    41.891000000	  133.892000000	1.364	11	 29.33812031538	0.1084	 54.07241192677	0.0981	 408296427430971008	  0.7273 	0.1222	 12.275	0.274	  3.523	0.246	0	     1759.09998	      2.48990	17.575100	0.001500	      617.39001	     14.73800 	18.375000	0.025900	     1781.80005	     13.30800	16.634800	0.008100	 1.7402	       	     	       	      	      	      	         	0.00
