pmRApmDEcor	PlxpmRAcor	PlxpmDEcor	RFG	RFBP	RFRP	E(BR/RP)	Nper	RAdeg	e_RAdeg	DEdeg	e_DEdeg	Source	Plx	e_Plx	pmRA	e_pmRA	pmDE	e_pmDE	Dup	FG	e_FG	Gmag	e_Gmag	FBP	e_FBP	BPmag	e_BPmag	FRP	e_FRP	RPmag	e_RPmag	BP-RP	RV	e_RV	Teff	AG	E(BR-RP)	Rad	Lum	Pmemb
---	---	---	---	---	---	---	---	deg	mas	deg	mas	---	mas	mas	mas/yr	mas/yr	mas/yr	mas/yr	---	e-/s	e-/s	mag	mag	e-/s	e-/s	mag	mag	e-/s	e-/s	mag	mag	mag	km/s	km/s	K	mag	mag	solRad	solLum	---
-------	-------	-------	---------------	----------------	---------------	-----	--	---------------	------	---------------	------	-------------------	---------	------	-------	-----	-------	-----	-	---------------	-------------	---------	--------	---------------	--------------	---------	--------	---------------	-------------	---------	--------	-------	-------	-----	-------	------	------	------	---------	----
 0.1115	-0.2303	 0.1456	  716.201000000	    31.707000000	  162.606000000	1.371	15	318.50457740502	0.1253	 49.84331535159	0.1246	2165905381212701824	  0.6263 	0.1441	  6.637	0.264	  0.467	0.237	0	     1088.19995	      1.51940	18.096600	0.001500	      303.06000	      9.55820 	19.147600	0.034200	     1188.59998	      7.30940	17.074400	0.006700	 2.0732	       	     	       	      	      	      	         	0.00
-0.0316	-0.2941	 0.0566	 1059.843000000	    81.834000000	  182.858000000	1.349	14	318.49400553765	0.0905	 49.83853761000	0.0877	2165905381212680576	  0.3405 	0.1036	  1.433	0.178	  0.769	0.163	0	     1778.30005	      1.67790	17.563400	0.001000	      526.76001	      6.43690 	18.547400	0.013300	     1871.40002	     10.23400	16.581500	0.005900	 1.9659	       	     	       	      	      	      	         	0.00
 0.1868	-0.1642	 0.2023	 1889.611000000	   131.943000000	  863.536000000	1.504	15	318.59178249731	0.0433	 49.85861950010	0.0508	2165905660392137600	  0.2836 	0.0532	 -6.071	0.090	 -7.034	0.101	0	    10045.00000	      5.31570	15.683500	0.000600	     1708.80005	     12.95100 	17.269700	0.008200	    13395.00000	     15.51200	14.444500	0.001300	 2.8251	       	     	4049.1 	2.7930	1.4055	      	         	0.00
 0.1123	-0.4731	 0.1269	 1032.796000000	    65.879000000	  341.096000000	1.348	13	318.57967170173	0.0856	 49.86079452781	0.0844	2165905660392135424	  0.5980 	0.1085	 -2.810	0.177	 -3.654	0.164	0	     2383.00000	      2.30730	17.245600	0.001100	      735.25000	     11.16100 	18.185300	0.016500	     2476.69995	      7.26110	16.277200	0.003200	 1.9081	       	     	       	      	      	      	         	0.53
 0.1776	-0.2755	 0.0846	 2149.462000000	   275.708000000	  742.117000000	1.344	15	318.57139705122	0.0297	 49.85699086972	0.0326	2165905626032396928	  0.6469 	0.0364	 -9.088	0.060	 -5.634	0.063	0	    11670.00000	      5.42930	15.520700	0.000500	     3707.10010	     13.44600 	16.428800	0.003900	    11976.00000	     16.13800	14.566100	0.001500	 1.8627	       	     	3893.0 	      	      	  3.09	    1.972	0.00
 0.1725	-0.3422	 0.0874	 2913.129000000	   363.102000000	 1039.617000000	1.309	14	318.57346620009	0.0233	 49.86025827128	0.0252	2165905660392135040	  0.6464 	0.0293	 -2.564	0.049	 -4.209	0.048	0	    22706.00000	      7.79440	14.798000	0.000400	     8250.90039	     22.72300 	15.560100	0.003000	    21471.00000	     20.65300	13.932300	0.001000	 1.6278	       	     	4319.1 	      	      	  3.09	    2.985	0.01
 0.2119	-0.4159	 0.1918	  846.036000000	    54.190000000	  254.749000000	1.370	12	318.58105964066	0.1072	 49.86189568600	0.1036	2165905656090708736	  0.1667 	0.1403	 -3.056	0.222	 -3.998	0.216	0	     1674.00000	      1.97860	17.629000	0.001300	      485.89001	      8.96630 	18.635000	0.020000	     1806.59998	      7.09180	16.619700	0.004300	 2.0153	       	     	       	      	      	      	         	0.00
 0.2611	-0.1470	 0.2402	 1317.581000000	   112.281000000	  317.127000000	1.346	14	318.57751275462	0.0701	 49.86489742667	0.0758	2165905660392134784	  0.8754 	0.0903	  0.144	0.144	 10.610	0.161	0	     3019.69995	      2.29180	16.988500	0.000800	      903.23999	      8.04440 	17.961900	0.009700	     3159.80005	      9.96400	16.012800	0.003400	 1.9491	       	     	3778.0 	      	      	  1.28	    0.301	0.00
-0.0063	-0.2796	 0.0697	  416.411000000	    66.268000000	  281.780000000	1.470	16	318.51228854074	0.3745	 49.85734534818	0.3907	2165905763471345920	  1.2417 	0.4469	  1.542	0.767	 -3.110	0.696	0	     2557.50000	      6.14170	17.168800	0.002600	      829.63000	     12.51900 	18.054200	0.016400	     2929.50000	     10.39700	16.094900	0.003900	 1.9593	       	     	       	      	      	      	         	0.00
-0.0065	-0.3079	 0.0589	 2201.606000000	   349.848000000	  715.935000000	1.345	16	318.52722682481	0.0281	 49.86302005408	0.0294	2165905797831084672	  0.6140 	0.0340	 -6.132	0.058	 -1.789	0.052	0	    10732.00000	      4.87460	15.611700	0.000500	     3362.50000	      9.61140 	16.534700	0.003100	    11068.00000	     15.45900	14.651800	0.001500	 1.8830	       	     	3805.0 	      	      	  3.36	    2.137	0.00
