pmRApmDEcor	PlxpmRAcor	PlxpmDEcor	RFG	RFBP	RFRP	E(BR/RP)	Nper	[Fe/H]temp	RAdeg	e_RAdeg	DEdeg	e_DEdeg	Source	Plx	e_Plx	pmRA	e_pmRA	pmDE	e_pmDE	Dup	FG	e_FG	Gmag	e_Gmag	FBP	e_FBP	BPmag	e_BPmag	FRP	e_FRP	RPmag	e_RPmag	BP-RP	RV	e_RV	Teff	AG	E(BR-RP)	Rad	Lum	Pmemb	Cluster
---	---	---	---	---	---	---	---	---	deg	mas	deg	mas	---	mas	mas	mas/yr	mas/yr	mas/yr	mas/yr	---	e-/s	e-/s	mag	mag	e-/s	e-/s	mag	mag	e-/s	e-/s	mag	mag	mag	km/s	km/s	K	mag	mag	solRad	solLum	---	---
-------	-------	-------	---------	---------	---------	-----	--	----	---------------	------	---------------	------	-------------------	---------	------	-------	-----	-------	-----	-	------------	-------------	-------	------	-------------	---------------	-------	------	-------------	--------------	-------	------	-------	-------	-----	-------	------	------	------	---------	-------	--------------------
-0.1355	-0.2957	-0.1299	 1275.539	   91.324	  322.154	1.411	14	 ---	322.46243258513	0.071 	 51.4906446467 	0.0678	2171680398541639168	  0.2742 	0.085 	 -2.338	0.154	 -2.97 	0.135	0	     2051.5 	      1.6084 	17.4082	0.0009	      548.85 	       6.01    	18.5027	0.0119	      2345.1 	      7.2793  	16.3365	0.0034	 2.1662	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  0.1  	FSR_0306
-0.0695	-0.2755	-0.0197	 1637.21 	  104.5  	  384.069	1.443	13	 ---	322.45918182443	0.0393	 51.48561751765	0.0323	2171680020584518016	  0.3156 	0.0418	 -1.371	0.081	 -2.891	0.062	0	     8008.8 	      4.8917 	15.9295	0.0007	     2560.2  	      24.5     	16.8307	0.0104	      8997.1 	     23.426   	14.8767	0.0028	 1.954 	   --- 	 --- 	3922.0 	---   	---   	  5.11	    5.576	  0.1  	FSR_0306
-0.0465	-0.3119	-0.1424	  783.299	   46.345	   68.91 	1.471	14	 ---	322.24427119401	0.0951	 51.44809401598	0.092 	2171681906065517568	  0.3837 	0.1158	 -2.625	0.203	 -2.775	0.182	0	     1291.3 	      1.6485 	17.9108	0.0014	      468.22 	      10.103   	18.6753	0.0234	      1430.7 	     20.762   	16.873 	0.0158	 1.8022	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  0.2  	FSR_0306
-0.0655	-0.29  	 0.0219	  878.111	   79.754	  273.938	1.372	15	 ---	322.45216536223	0.0981	 51.58465362377	0.0898	2171684586125522432	  0.3198 	0.1123	 -2.916	0.203	 -2.927	0.172	0	     1502.2 	      1.7107 	17.7465	0.0012	      484.77 	       6.0784  	18.6375	0.0136	      1576.3 	      5.7542  	16.7678	0.004 	 1.8697	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  0.1  	FSR_0306
-0.1041	-0.3108	-0.0294	 1561.835	  201.208	  480.447	1.311	16	 ---	322.44896360534	0.0395	 51.63139991148	0.0395	2171708367369178624	  0.3748 	0.0486	 -1.318	0.084	 -2.548	0.077	0	     5612.5 	      3.5935 	16.3155	0.0007	     2122.9  	      10.551   	17.034 	0.0054	      5233.3 	     10.892   	15.465 	0.0023	 1.569 	   --- 	 --- 	4461.0 	---   	---   	  2.4 	    2.058	  0.2  	FSR_0306
-0.1112	-0.2108	-0.1348	  866.799	   52.1  	  269.703	1.394	15	 ---	322.36478519403	0.0835	 51.51406039294	0.0829	2171683933290303232	  0.4782 	0.0998	 -2.397	0.173	 -1.662	0.164	0	     1622.4 	      1.8717 	17.663 	0.0013	      502.25 	       9.6401  	18.5991	0.0208	      1758.6 	      6.5205  	16.649 	0.004 	 1.9501	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  0.1  	FSR_0306
-0.076 	-0.2917	 0.0127	  861.063	   50.85 	  110.289	1.532	16	 ---	322.56408733604	0.0918	 51.6657223467 	0.0903	2171708676601469952	  0.399  	0.1092	 -1.811	0.193	 -3.239	0.169	0	     1291.0 	      1.4993 	17.9111	0.0013	      345.71 	       6.7987  	19.0046	0.0214	      1631.7 	     14.794   	16.7303	0.0098	 2.2742	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  0.1  	FSR_0306
-0.1329	-0.2962	-0.1362	 1162.569	   60.647	  208.507	1.356	14	 ---	322.45743960815	0.0801	 51.50622567756	0.071 	2171683349174722688	  0.4654 	0.0908	 -1.436	0.173	 -2.486	0.141	0	     1869.5 	      1.6081 	17.509 	0.0009	      594.39 	       9.8009  	18.4162	0.0179	      1941.6 	      9.3118  	16.5415	0.0052	 1.8747	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  0.5  	FSR_0306
-0.1475	-0.3264	 0.027 	 1032.314	   74.26 	  251.35 	1.359	15	 ---	322.55160359292	0.0733	 51.58198142026	0.0701	2171707130418487552	  0.3845 	0.0877	 -2.176	0.155	 -1.913	0.134	0	     2276.9 	      2.2056 	17.295 	0.0011	      763.64 	      10.283   	18.1442	0.0146	      2331.7 	      9.2765  	16.3428	0.0043	 1.8014	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  0.1  	FSR_0306
-0.0367	-0.4206	-0.1866	  838.653	   24.247	  232.976	1.713	14	 ---	322.44202039142	0.1007	 51.44221923683	0.0963	2171679603967452160	  0.3201 	0.1281	 -2.421	0.221	 -3.022	0.192	0	     1598.6 	      1.9062 	17.679 	0.0013	      222.79 	       9.1884  	19.4817	0.0448	      2515.9 	     10.799   	16.2602	0.0047	 3.2215	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  0.1  	FSR_0306
-0.1295	-0.1714	-0.1206	 1275.446	   88.03 	  456.787	1.47 	15	 ---	322.34303509774	0.0585	 51.56905761166	0.0578	2171684379967052928	  0.2658 	0.0676	 -2.707	0.122	 -3.09 	0.114	0	     2813.3 	      2.2058 	17.0653	0.0009	      577.31 	       6.558   	18.4479	0.0123	      3557.2 	      7.7874  	15.8841	0.0024	 2.5637	   --- 	 --- 	3954.2 	2.792 	1.3935	  --- 	    ---  	  0.1  	FSR_0306
-0.0836	-0.3552	-0.0115	 1061.135	   47.879	  280.421	1.446	15	 ---	322.53891620753	0.0823	 51.55252322009	0.0815	2171704038042042880	  0.4644 	0.1015	 -1.811	0.173	 -2.244	0.153	0	     1656.6 	      1.5612 	17.6403	0.001 	      404.41 	       8.4465  	18.8343	0.0227	      1990.6 	      7.0986  	16.5145	0.0039	 2.3199	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  0.3  	FSR_0306
-0.1181	-0.1728	-0.1023	 1197.88 	  120.531	  276.045	1.341	15	 ---	322.32079904365	0.0723	 51.50823796407	0.0667	2171682494485497344	  0.2998 	0.0813	 -2.906	0.15 	 -3.015	0.132	0	     2060.3 	      1.7199 	17.4035	0.0009	      738.75 	       6.1291  	18.1801	0.009 	      2024.7 	      7.3347  	16.496 	0.0039	 1.6841	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  0.1  	FSR_0306
-0.1387	-0.2   	-0.1197	 3721.729	  709.444	  940.958	1.28 	16	 ---	322.2996712042 	0.0193	 51.50060400983	0.0192	2171682460125758464	  0.2958 	0.0229	 -2.249	0.041	 -2.252	0.037	0	    21945.0 	      5.8965 	14.835 	0.0003	     9558.7  	      13.473   	15.4004	0.0015	     18537.0 	     19.7     	14.0918	0.0012	 1.3085	   --- 	 --- 	4976.0 	---   	---   	  4.46	   10.991	  0.5  	FSR_0306
-0.2604	-0.1068	-0.2226	 1560.895	  124.762	  273.365	1.317	13	 ---	322.25845016722	0.0553	 51.47800241072	0.0565	2171682528845235456	  0.2926 	0.067 	 -2.51 	0.124	 -2.83 	0.125	0	     3777.3 	      2.42   	16.7454	0.0007	     1400.4  	      11.225   	17.4857	0.0087	      3574.0 	     13.074   	15.879 	0.004 	 1.6067	   --- 	 --- 	4340.5 	---   	---   	  --- 	    ---  	  0.2  	FSR_0306
-0.0931	-0.2878	-0.1298	 1071.867	   81.009	  195.387	1.343	14	 ---	322.32248360154	0.0749	 51.41284142202	0.0718	2171681150151135232	  0.2577 	0.089 	 -2.302	0.161	 -2.018	0.143	0	     1819.5 	      1.6975 	17.5385	0.001 	      640.62 	       7.908   	18.3349	0.0134	      1802.9 	      9.2271  	16.622 	0.0056	 1.7129	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  0.1  	FSR_0306
-0.1777	-0.2085	-0.1585	 3846.848	  716.799	  958.761	1.262	15	 ---	322.30733352923	0.0195	 51.40456656553	0.0192	2171680776498603136	  0.448  	0.0231	 -2.119	0.043	 -2.526	0.037	0	    26819.0 	      6.9716 	14.6173	0.0003	    12168.0  	      16.976   	15.1383	0.0015	     21676.0 	     22.609   	13.922 	0.0011	 1.2163	   --- 	 --- 	4870.0 	---   	---   	  3.44	    6.009	  0.7  	FSR_0306
-0.0957	-0.2732	-0.1154	 1478.014	   94.544	  462.975	1.476	14	 ---	322.29388987547	0.0502	 51.38910702421	0.0481	2171680742138867072	  0.2208 	0.0597	 -2.139	0.11 	 -2.928	0.096	0	     3991.6 	      2.7006 	16.6855	0.0007	      795.95 	       8.4188  	18.0992	0.0115	      5096.8 	     11.009   	15.4937	0.0023	 2.6055	   --- 	 --- 	3558.09	2.709 	1.356 	  --- 	    ---  	  0.1  	FSR_0306
-0.0598	-0.3561	-0.0013	 1335.166	  123.88 	  393.34 	1.415	15	 ---	322.46607504894	0.0587	 51.55752872498	0.058 	2171683765795982720	  0.3236 	0.072 	 -1.922	0.123	 -2.316	0.109	0	     2553.5 	      1.9125 	17.1705	0.0008	      688.51 	       5.5579  	18.2566	0.0088	      2924.7 	      7.4354  	16.0967	0.0028	 2.1599	   --- 	 --- 	   --- 	---   	---   	  --- 	    ---  	  0.2  	FSR_0306
-0.0922	-0.2516	-0.149 	 4303.165	  768.508	  927.739	1.294	14	 ---	322.26585782365	0.0205	 51.50407281816	0.0191	2171682631924445568	  0.3808 	0.0241	 -1.461	0.042	 -2.418	0.036	0	    28655.0 	      6.6591 	14.5454	0.0003	    11284.0  	      14.683   	15.2202	0.0014	     25807.0 	     27.818   	13.7326	0.0012	 1.4877	   --- 	 --- 	4445.91	---   	---   	  5.39	   10.245	  0.3  	FSR_0306
-0.0626	-0.1488	-0.1019	 1700.483	  314.197	  870.18 	1.324	16	 ---	322.26768466104	0.03  	 51.49556311236	0.0305	2171682563204971008	  0.3155 	0.0366	 -2.697	0.064	 -1.746	0.06 	0	     9179.2 	      5.398  	15.7814	0.0006	     3268.8  	      10.404   	16.5654	0.0035	      8886.6 	     10.212   	14.8901	0.0012	 1.6753	   --- 	 --- 	4159.32	---   	---   	  4.52	    5.512	  0.1  	FSR_0306
