pmRApmDEcor	PlxpmRAcor	PlxpmDEcor	RFG	RFBP	RFRP	E(BR/RP)	Nper	RAdeg	e_RAdeg	DEdeg	e_DEdeg	Source	Plx	e_Plx	pmRA	e_pmRA	pmDE	e_pmDE	Dup	FG	e_FG	Gmag	e_Gmag	FBP	e_FBP	BPmag	e_BPmag	FRP	e_FRP	RPmag	e_RPmag	BP-RP	RV	e_RV	Teff	AG	E(BR-RP)	Rad	Lum	Pmemb
---	---	---	---	---	---	---	---	deg	mas	deg	mas	---	mas	mas	mas/yr	mas/yr	mas/yr	mas/yr	---	e-/s	e-/s	mag	mag	e-/s	e-/s	mag	mag	e-/s	e-/s	mag	mag	mag	km/s	km/s	K	mag	mag	solRad	solLum	---
-------	-------	-------	---------------	----------------	---------------	-----	--	---------------	------	---------------	------	-------------------	---------	------	-------	-----	-------	-----	-	---------------	-------------	---------	--------	---------------	--------------	---------	--------	---------------	-------------	---------	--------	-------	-------	-----	-------	------	------	------	---------	----
-0.2897	-0.1641	 0.3761	 2517.408000000	   557.350000000	  392.057000000	1.251	11	253.64073915712	0.0423	-40.83158387683	0.0339	5969574013929379072	  0.6622 	0.0521	 -2.059	0.070	  0.184	0.057	0	    25635.00000	     10.18300	14.666300	0.000400	    12538.00000	     22.49600 	15.105800	0.001900	    19529.00000	     49.81300	14.035200	0.002800	 1.0706	       	     	5050.1 	1.9580	1.0020	  2.07	    2.523	0.00
 0.2796	-0.1257	 0.2531	 1107.347000000	    41.530000000	  304.678000000	1.438	10	253.60468942786	0.0994	-40.82660021039	0.0675	5969585730594446720	  0.3119 	0.1208	 -1.007	0.208	 -3.389	0.131	0	     3688.50000	      3.33090	16.771200	0.001000	     1089.80005	     26.24200 	17.758000	0.026100	     4213.20020	     13.82800	15.700400	0.003600	 2.0576	       	     	3630.5 	2.5265	1.3147	      	         	0.00
 0.2778	-0.1189	 0.2914	  601.365000000	    32.635000000	  167.439000000	1.532	11	253.60766659507	0.1500	-40.82901243130	0.1018	5969585734924172672	  0.3300 	0.1687	 -2.248	0.281	 -1.937	0.180	0	     1905.19995	      3.16810	17.488500	0.001800	      494.39001	     15.14900 	18.616200	0.033300	     2424.69995	     14.48100	16.300300	0.006500	 2.3159	       	     	       	      	      	      	         	0.00
 0.3200	-0.0844	 0.2808	  786.028000000	    53.460000000	   63.762000000	1.399	10	253.60572894610	0.1235	-40.82248243032	0.0835	5969585730591075840	  0.8187 	0.1509	  2.139	0.270	 -3.212	0.166	0	     1928.09998	      2.45300	17.475500	0.001400	      749.64001	     14.02300 	18.164300	0.020300	     1948.59998	     30.56100	16.537600	0.017000	 1.6267	       	     	       	      	      	      	         	0.00
 0.0988	-0.1308	 0.3168	 1437.558000000	    42.269000000	  351.077000000	1.566	11	253.61452935117	0.0888	-40.82435923969	0.0615	5969585730591045376	  0.2694 	0.0985	 -3.017	0.149	 -5.044	0.104	0	     6867.50000	      4.77720	16.096400	0.000800	     1048.50000	     24.80400 	17.800000	0.025700	     9709.50000	     27.65600	14.793900	0.003100	 3.0061	       	     	4283.9 	2.8610	1.4403	      	         	0.00
 0.3511	-0.0241	 0.3612	  600.481000000	    36.144000000	  102.654000000	1.475	11	253.62350439511	0.1823	-40.83445872789	0.1216	5969585661869985792	  0.2920 	0.2007	 -2.743	0.354	 -3.600	0.223	0	     1157.40002	      1.92740	18.029700	0.001800	      346.66000	      9.59130 	19.001600	0.030000	     1361.00000	     13.25800	16.927300	0.010600	 2.0744	       	     	       	      	      	      	         	0.00
-0.0969	 0.2414	-0.0248	  866.605000000	    83.934000000	   68.649000000	1.453	10	253.64158200578	0.1728	-40.81952186804	0.1113	5969585803644080640	  0.2071 	0.1898	  5.989	0.303	  3.349	0.182	0	     2291.80005	      2.64460	17.287900	0.001300	      903.90997	     10.76900 	17.961100	0.012900	     2427.19995	     35.35600	16.299200	0.015800	 1.6619	       	     	       	      	      	      	         	0.00
-0.3629	 0.1737	-0.0069	 2955.291000000	   552.544000000	  514.275000000	1.265	10	253.64292724891	0.0552	-40.81839399293	0.0364	5969585803644080768	  1.1906 	0.0575	 -0.065	0.085	 -1.486	0.060	0	    19213.00000	      6.50130	14.979400	0.000400	     8153.50000	     14.75600 	15.573000	0.002000	    16158.00000	     31.42000	14.240900	0.002100	 1.3321	       	     	4938.5 	0.9840	0.4975	  1.06	    0.599	0.13
 0.2452	-0.1120	 0.3093	  623.142000000	    22.377000000	   79.123000000	1.429	11	253.62004509967	0.1867	-40.80691255466	0.1275	5969585837973906944	  0.5551 	0.2065	 -2.165	0.326	 -8.099	0.215	0	     1137.50000	      1.82540	18.048500	0.001700	      420.42001	     18.78800 	18.792200	0.048500	     1205.09998	     15.23100	17.059300	0.013700	 1.7329	       	     	       	      	      	      	         	0.00
-0.2012	-0.0420	 0.1969	 3615.268000000	   437.576000000	 1313.661000000	1.214	11	253.62913286693	0.0313	-40.80806487587	0.0221	5969585868027986048	  0.5489 	0.0367	 -0.192	0.052	 -1.371	0.037	0	   104750.00000	     28.97400	13.138000	0.000300	    58154.00000	    132.89999 	13.439900	0.002500	    68963.00000	     52.49700	12.665400	0.000800	 0.7746	       	     	6231.9 	      	      	  3.15	   13.493	0.99
