# %ECSV 1.0
# ---
# datatype:
# - name: _r
#   unit: ''
#   datatype: float64
#   format: '{:7.4f}'
#   description: Distance from center (339.84991355000+59.00460428000)[ICRS], at Epoch=J2016.0
#   meta: !!omap
#   - {ucd: POS_ANG_DIST_GENERAL}
#   - {width: 7}
#   - {precision: '4'}
# - name: Source
#   datatype: int64
#   description: Source identifier, identical to the Gaia-EDR3 source_id (id)
#   meta: !!omap
#   - {ucd: ID_MAIN}
#   - {width: 19}
# - name: RA_ICRS
#   unit: deg
#   datatype: float64
#   format: '{:15.11f}'
#   description: Barycentric right ascension (ICRS) at Ep=2016.0 (ra)
#   meta: !!omap
#   - {ucd: POS_EQ_RA_MAIN}
#   - {width: 15}
#   - {precision: '11'}
# - name: DE_ICRS
#   unit: deg
#   datatype: float64
#   format: '{:15.11f}'
#   description: Barycentric declination (ICRS) at Ep=2016.0 (dec)
#   meta: !!omap
#   - {ucd: POS_EQ_DEC_MAIN}
#   - {width: 15}
#   - {precision: '11'}
# - name: rgeo
#   unit: pc
#   datatype: float64
#   format: '{:15.8f}'
#   description: '? Median of the geometric distance posterior (r_med_geo)'
#   meta: !!omap
#   - {ucd: PHYS_DISTANCE_TRUE}
#   - {width: 15}
#   - {precision: '8'}
#   - values: {'null': .nan}
# - name: b_rgeo
#   unit: pc
#   datatype: float64
#   format: '{:14.8f}'
#   description: '? 16th percentile of the geometric distance posterior (r_lo_geo)'
#   meta: !!omap
#   - {ucd: ERROR}
#   - {width: 14}
#   - {precision: '8'}
#   - values: {'null': .nan}
# - name: B_rgeo
#   unit: pc
#   datatype: float64
#   format: '{:14.8f}'
#   description: '? 84th percentile of the geometric distance posterior (r_hi_geo)'
#   meta: !!omap
#   - {ucd: ERROR}
#   - {width: 14}
#   - {precision: '8'}
#   - values: {'null': .nan}
# - name: rpgeo
#   unit: pc
#   datatype: float64
#   format: '{:15.8f}'
#   description: '? Median of the photogeometric distance posterior (r_med_photogeo)'
#   meta: !!omap
#   - {ucd: PHYS_DISTANCE_TRUE}
#   - {width: 15}
#   - {precision: '8'}
#   - values: {'null': .nan}
# - name: b_rpgeo
#   unit: pc
#   datatype: float64
#   format: '{:14.8f}'
#   description: '? 16th percentile of the photogeometric distance posterior (r_lo_photogeo)'
#   meta: !!omap
#   - {ucd: ERROR}
#   - {width: 14}
#   - {precision: '8'}
#   - values: {'null': .nan}
# - name: B_rpgeo
#   unit: pc
#   datatype: float64
#   format: '{:14.8f}'
#   description: '? 84th percentile of the photogeometric distance posterior (r_hi_photogeo)'
#   meta: !!omap
#   - {ucd: ERROR}
#   - {width: 14}
#   - {precision: '8'}
#   - values: {'null': .nan}
# - name: Flag
#   datatype: int32
#   description: Flag (flag) (1)
#   meta: !!omap
#   - {ucd: CODE_MISC}
#   - {width: 5}
# meta: !!omap
# - {ID: I_352_gedr3dis}
# - {description: Estimating distances from parallaxes (1467744818 sources)}
# - {name: I/352/gedr3dis}
# schema: astropy-2.0
_r Source RA_ICRS DE_ICRS rgeo b_rgeo B_rgeo rpgeo b_rpgeo B_rpgeo Flag
0.7454 2008430237808844672 339.8371307294 59.01514090544 2871.62817 2720.88013 3081.0542 2793.72095 2660.60645 2971.65649 10033
0.828 2008384706850332672 339.87289369138 58.99750815958 2628.48999 2447.87427 2821.11646 2565.37036 2411.38501 2776.12915 10033
0.8351 2008384711154091776 339.8763954476 59.00738593548 2764.83325 1422.48474 5415.05615 2001.51501 1640.30835 3424.57666 10033
0.8452 2008384779866800768 339.86200383636 59.01724100408 2740.18213 1454.10071 4651.11914 6823.35303 5655.40088 8398.76074 20033
0.8497 2008431715277595264 339.85013597027 59.01876529425 2965.00854 2783.73315 3157.08447 2949.12891 2738.95728 3193.7915 10033
0.8711 2008384706850351872 339.87773317913 59.00224899077 2463.19897 1618.10925 4442.06152 3731.79712 2234.21631 6617.73486 10033
0.8784 2008430203449108224 339.82166004461 59.00297803329 2525.15747 2459.89844 2592.30542 2524.15967 2453.46533 2601.70728 10033
0.8889 2008430233505453312 339.84242249008 59.01890775652 2220.78076 1679.78162 3167.57739 2135.7981 1736.13745 2838.01978 10033
0.9139 2008384711154096256 339.86767041507 58.99242334208 2834.92456 2636.82031 3045.08301 2855.98291 2658.16846 3067.81055 10033
0.9602 2008430237808843648 339.83995017739 59.01976320384 2413.88232 2121.63379 2860.06909 2414.15942 2096.05322 2810.24414 10033
0.9792 2008384779865400192 339.8644169749 59.01911640465 2646.86694 1687.25317 4195.05615 2501.70605 1548.50098 4622.46484 10033
0.9958 2008384711154093568 339.88202156527 59.00603248772 2737.96045 2388.86792 3316.71851 2565.40601 2209.14136 2977.51367 10033
1.023 2008383023223105280 339.86066577843 58.98847850132 2833.95215 2407.1416 3331.53027 2797.70532 2379.80908 3246.43652 10033
1.0506 2008384504995666688 339.87831166588 58.99497684572 2242.19189 2138.45044 2338.01904 2244.08398 2129.31348 2386.05957 10033
1.0791 2008430203445740928 339.81578633045 59.00078963329 2761.75659 1487.40747 5303.17773 3222.50781 2493.8689 5519.75391 20033
1.089 2008430237808841600 339.82384023875 59.01681945374 2657.5686 2587.60059 2734.51587 2681.83984 2585.19556 2758.77515 10033
1.1463 2008383199325604224 339.83338202067 58.98750271338 2978.19849 2882.58301 3083.82324 2977.68335 2889.32056 3092.64795 10033
1.1608 2008384504995666304 339.88632549552 58.99984471113 2744.87402 2444.11694 3104.67944 2544.10718 2279.99731 3038.87451 10033
1.1918 2008384711154095872 339.88837770334 59.00313737645 2862.948 2722.69629 3036.86694 2850.11963 2650.87158 3028.54053 10033
1.2434 2008383229381539840 339.83635116608 58.98509382294 2905.39087 2321.21802 4196.58789 2582.22559 2158.271 3277.03198 10033
1.2676 2008430272168579072 339.81341576951 59.01425679602 2973.0354 2252.20215 4003.68042 2698.77319 2200.72046 3327.29248 10033
1.2924 2008430306524956288 339.81953248509 59.01941207479 2580.93945 1208.55493 3874.51978 4259.03223 2892.79785 6555.69385 10033
1.2937 2008384504988910848 339.87385836641 58.98691939528 2384.44019 1109.78857 5453.59717 3726.24609 2321.125 5861.77783 10033
