# File generated by CMD 3.7 (http://stev.oapd.inaf.it/cmd) on Wed Jun 19 07:51:11 UTC 2024
# isochrones based on PARSEC release v2.0 
# Basic references: Costa et al. 2019a,2019b for the code, Nguyen et al. 2020 for the tracks.
# Rotating tracks computed with omega_i=0.00, except for lower masses (see paper)
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# but fundamental-mode LPV periods are from Trabucchi et al. (2021)
# Photometric system: Gaia EDR3 (all Vegamags, Gaia passbands from ESA/Gaia website)
# Attention: photometry includes extinction of Av=2.9, with coefficients derived star-by-star, for Cardelli et al 89 + O'Donnell 94 Rv=3.1 extinction curve.
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dust ignored
# C-rich circumstellar dust ignored
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z  Teff0 omega angvel vtaneq angmom Rpol Req  mbolmag  G_fSBmag  G_BP_fSBmag  G_RP_fSBmag G_fSB G_f0 G_fk G_i00 G_i05 G_i10 G_i15 G_i20 G_i25 G_i30 G_i35 G_i40 G_i45 G_i50 G_i55 G_i60 G_i65 G_i70 G_i75 G_i80 G_i85 G_i90 G_BP_fSB G_BP_f0 G_BP_fk G_BP_i00 G_BP_i05 G_BP_i10 G_BP_i15 G_BP_i20 G_BP_i25 G_BP_i30 G_BP_i35 G_BP_i40 G_BP_i45 G_BP_i50 G_BP_i55 G_BP_i60 G_BP_i65 G_BP_i70 G_BP_i75 G_BP_i80 G_BP_i85 G_BP_i90 G_RP_fSB G_RP_f0 G_RP_fk G_RP_i00 G_RP_i05 G_RP_i10 G_RP_i15 G_RP_i20 G_RP_i25 G_RP_i30 G_RP_i35 G_RP_i40 G_RP_i45 G_RP_i50 G_RP_i55 G_RP_i60 G_RP_i65 G_RP_i70 G_RP_i75 G_RP_i80 G_RP_i85 G_RP_i90
0.011816 -0.10000 7.10000 0.1399999857 1.4384525915    0.140 -1.835  3.4397  4.130    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.26e-15      0.00 7.180e-01 2.700e-01 2.155e-03 5.814e-04 5.273e-03 -1.000 1.198e-02       2752          0          0          0          0     0.5337     0.5337 9.357 13.461 16.437 11.493 13.461 13.461 13.461 13.461 13.461 13.461 13.461 13.461 13.461 13.461 13.461 13.461 13.461 13.461 13.461 13.461 13.461 13.461 13.461 13.461 13.461 13.461 16.437 16.437 16.437 16.437 16.437 16.437 16.437 16.437 16.437 16.437 16.437 16.437 16.437 16.437 16.437 16.437 16.437 16.437 16.437 16.437 16.437 16.437 11.493 11.493 11.493 11.493 11.493 11.493 11.493 11.493 11.493 11.493 11.493 11.493 11.493 11.493 11.493 11.493 11.493 11.493 11.493 11.493 11.493 11.493
0.011816 -0.10000 7.10000 0.1525708884 1.5025535715    0.153 -1.780  3.4459  4.137    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.59e-15      0.00 7.180e-01 2.700e-01 2.155e-03 5.814e-04 5.273e-03 -1.000 1.198e-02       2792          0          0          0          0      0.553      0.553 9.220 13.248 16.138 11.298 13.248 13.248 13.248 13.248 13.248 13.248 13.248 13.248 13.248 13.248 13.248 13.248 13.248 13.248 13.248 13.248 13.248 13.248 13.248 13.248 13.248 13.248 16.138 16.138 16.138 16.138 16.138 16.138 16.138 16.138 16.138 16.138 16.138 16.138 16.138 16.138 16.138 16.138 16.138 16.138 16.138 16.138 16.138 16.138 11.298 11.298 11.298 11.298 11.298 11.298 11.298 11.298 11.298 11.298 11.298 11.298 11.298 11.298 11.298 11.298 11.298 11.298 11.298 11.298 11.298 11.298
0.011816 -0.10000 7.10000 0.1599999964 1.5372931554    0.160 -1.749  3.4494  4.141    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.79e-15      0.00 7.180e-01 2.700e-01 2.155e-03 5.814e-04 5.273e-03 -1.000 1.198e-02       2814          0          0          0          0     0.5634     0.5634 9.143 13.130 15.973 11.189 13.130 13.130 13.130 13.130 13.130 13.130 13.130 13.130 13.130 13.130 13.130 13.130 13.130 13.130 13.130 13.130 13.130 13.130 13.130 13.130 13.130 13.130 15.973 15.973 15.973 15.973 15.973 15.973 15.973 15.973 15.973 15.973 15.973 15.973 15.973 15.973 15.973 15.973 15.973 15.973 15.973 15.973 15.973 15.973 11.189 11.189 11.189 11.189 11.189 11.189 11.189 11.189 11.189 11.189 11.189 11.189 11.189 11.189 11.189 11.189 11.189 11.189 11.189 11.189 11.189 11.189
0.011816 -0.10000 7.10000 0.1781871170 1.6141504785    0.178 -1.681  3.4568  4.149    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.28e-15      0.00 7.180e-01 2.700e-01 2.155e-03 5.814e-04 5.273e-03 -1.000 1.198e-02       2863          0          0          0          0     0.5909     0.5909 8.971 12.870 15.606 10.953 12.870 12.870 12.870 12.870 12.870 12.870 12.870 12.870 12.870 12.870 12.870 12.870 12.870 12.870 12.870 12.870 12.870 12.870 12.870 12.870 12.870 12.870 15.606 15.606 15.606 15.606 15.606 15.606 15.606 15.606 15.606 15.606 15.606 15.606 15.606 15.606 15.606 15.606 15.606 15.606 15.606 15.606 15.606 15.606 10.953 10.953 10.953 10.953 10.953 10.953 10.953 10.953 10.953 10.953 10.953 10.953 10.953 10.953 10.953 10.953 10.953 10.953 10.953 10.953 10.953 10.953
0.011816 -0.10000 7.10000 0.1932923496 1.6706141349    0.193 -1.629  3.4624  4.155    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.67e-15      0.00 7.180e-01 2.700e-01 2.155e-03 5.814e-04 5.273e-03 -1.000 1.198e-02       2900          0          0          0          0     0.6102     0.6102 8.842 12.679 15.343 10.779 12.679 12.679 12.679 12.679 12.679 12.679 12.679 12.679 12.679 12.679 12.679 12.679 12.679 12.679 12.679 12.679 12.679 12.679 12.679 12.679 12.679 12.679 15.343 15.343 15.343 15.343 15.343 15.343 15.343 15.343 15.343 15.343 15.343 15.343 15.343 15.343 15.343 15.343 15.343 15.343 15.343 15.343 15.343 15.343 10.779 10.779 10.779 10.779 10.779 10.779 10.779 10.779 10.779 10.779 10.779 10.779 10.779 10.779 10.779 10.779 10.779 10.779 10.779 10.779 10.779 10.779
0.011816 -0.10000 7.10000 0.1999999881 1.6938790356    0.200 -1.607  3.4647  4.157    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.85e-15      0.00 7.180e-01 2.700e-01 2.155e-03 5.814e-04 5.273e-03 -1.000 1.198e-02       2916          0          0          0          0      0.618      0.618 8.788 12.602 15.238 10.708 12.602 12.602 12.602 12.602 12.602 12.602 12.602 12.602 12.602 12.602 12.602 12.602 12.602 12.602 12.602 12.602 12.602 12.602 12.602 12.602 12.602 12.602 15.238 15.238 15.238 15.238 15.238 15.238 15.238 15.238 15.238 15.238 15.238 15.238 15.238 15.238 15.238 15.238 15.238 15.238 15.238 15.238 15.238 15.238 10.708 10.708 10.708 10.708 10.708 10.708 10.708 10.708 10.708 10.708 10.708 10.708 10.708 10.708 10.708 10.708 10.708 10.708 10.708 10.708 10.708 10.708
0.011816 -0.10000 7.10000 0.2274711579 1.7795418906    0.227 -1.525  3.4738  4.167    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -6.56e-15      0.00 7.180e-01 2.700e-01 2.155e-03 5.814e-04 5.273e-03 -1.000 1.198e-02       2977          0          0          0          0     0.6538     0.6538 8.582 12.305 14.836 10.438 12.305 12.305 12.305 12.305 12.305 12.305 12.305 12.305 12.305 12.305 12.305 12.305 12.305 12.305 12.305 12.305 12.305 12.305 12.305 12.305 12.305 12.305 14.836 14.836 14.836 14.836 14.836 14.836 14.836 14.836 14.836 14.836 14.836 14.836 14.836 14.836 14.836 14.836 14.836 14.836 14.836 14.836 14.836 14.836 10.438 10.438 10.438 10.438 10.438 10.438 10.438 10.438 10.438 10.438 10.438 10.438 10.438 10.438 10.438 10.438 10.438 10.438 10.438 10.438 10.438 10.438
0.011816 -0.10000 7.10000 0.2500000000 1.8403257998    0.250 -1.464  3.4803  4.173    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -7.14e-15      0.00 7.180e-01 2.700e-01 2.155e-03 5.814e-04 5.273e-03 -1.000 1.198e-02       3022          0          0          0          0     0.6785     0.6785 8.431 12.092 14.549 10.243 12.092 12.092 12.092 12.092 12.092 12.092 12.092 12.092 12.092 12.092 12.092 12.092 12.092 12.092 12.092 12.092 12.092 12.092 12.092 12.092 12.092 12.092 14.549 14.549 14.549 14.549 14.549 14.549 14.549 14.549 14.549 14.549 14.549 14.549 14.549 14.549 14.549 14.549 14.549 14.549 14.549 14.549 14.549 14.549 10.243 10.243 10.243 10.243 10.243 10.243 10.243 10.243 10.243 10.243 10.243 10.243 10.243 10.243 10.243 10.243 10.243 10.243 10.243 10.243 10.243 10.243
0.011816 -0.10000 7.10000 0.3000000119 1.9529139769    0.300 -1.349  3.4931  4.188    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -8.37e-15      0.00 7.180e-01 2.700e-01 2.155e-03 5.814e-04 5.273e-03 -1.000 1.198e-02       3112          0          0          0          0     0.7304     0.7304 8.142 11.684 14.002 9.876 11.684 11.684 11.684 11.684 11.684 11.684 11.684 11.684 11.684 11.684 11.684 11.684 11.684 11.684 11.684 11.684 11.684 11.684 11.684 11.684 11.684 11.684 14.002 14.002 14.002 14.002 14.002 14.002 14.002 14.002 14.002 14.002 14.002 14.002 14.002 14.002 14.002 14.002 14.002 14.002 14.002 14.002 14.002 14.002 9.876 9.876 9.876 9.876 9.876 9.876 9.876 9.876 9.876 9.876 9.876 9.876 9.876 9.876 9.876 9.876 9.876 9.876 9.876 9.876 9.876 9.876
0.011816 -0.10000 7.10000 0.3148480058 1.9817273855    0.315 -1.319  3.4964  4.193    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -8.71e-15      0.00 7.180e-01 2.700e-01 2.155e-03 5.814e-04 5.273e-03 -1.000 1.198e-02       3136          0          0          0          0     0.7452     0.7452 8.067 11.582 13.869 9.783 11.582 11.582 11.582 11.582 11.582 11.582 11.582 11.582 11.582 11.582 11.582 11.582 11.582 11.582 11.582 11.582 11.582 11.582 11.582 11.582 11.582 11.582 13.869 13.869 13.869 13.869 13.869 13.869 13.869 13.869 13.869 13.869 13.869 13.869 13.869 13.869 13.869 13.869 13.869 13.869 13.869 13.869 13.869 13.869 9.783 9.783 9.783 9.783 9.783 9.783 9.783 9.783 9.783 9.783 9.783 9.783 9.783 9.783 9.783 9.783 9.783 9.783 9.783 9.783 9.783 9.783
