# 	SNRa 	Literature 	Revised 	
		dist (kpc) 	distb (kpc) 	nobs
96	G78.2 + 2.1 	2.1 ± 0.4 	··· 	2.1
97	G82.2 + 5.3 	3.2 ± 0.4 	··· 	3.2
98	G84.2 − 0.8 	6 ± 0.2 	7 ± 0.7 	7
99	G85.4 + 0.7 	4.4 ± 0.8 	··· 	4.4
100	G85.9 − 0.6 	4.8 ± 1.6 	··· 	4.8
101	G89.0 + 4.7 	1.9+0.3 −0.2 	··· 	1.9
102	G93.3 + 6.9 	2.2 ± 0.5 	··· 	2.2
103	G93.7 − 0.2 	1.5 ± 0.2 	1.3 ± 0.2 	1.3
104	G94.0 + 1.0 	3	2.2 ± 0.8 	2.2
105	G96.0 + 2.0 	4	4.9 ± 0.7 	4.9
106	G106.3 + 2.7 	0.8	0.7 ± 0.5 	0.8
107	G107.0 + 9.0   	1.75 ± 0.25 	··· 	1.75
108	G107.5 − 1.5  	1.1	0.9	0.9
109	G108.2 − 0.6 	3.2 ± 0.6 	··· 	3.2
110	G109.1 − 1.0 	3.1 ± 0.2 	··· 	3.1
111	G111.7 − 2.1 	3.33 ± 0.1 	3.3 ± 0.6 	3.3
112	G113.0 + 0.2 	3.1	3.2 ± 0.7 	3.2
113	G114.3 + 0.3 	0.7	0.5 ± 0.4 	0.5
114	G116.5 + 1.1 	1.6	1.3 ± 0.6 	1.3
115	G116.9 + 0.2 	1.6	2.1 ± 0.6 	2.1
116	G119.5 + 10.2 	1.4 ± 0.3 	1.2 ± 0.2 	1.2
117	G120.1 + 1.4 	4 ± 1 	··· 	4
118	G126.2 + 1.6 	5.6 ± 0.3 	3.2 ± 0.6 	3.2
119	G127.1 + 0.5 	1.15	0.96 ± 0.5 	0.96
120	G130.7 + 3.1 	2 ± 0.3 	··· 	2
121	G132.7 + 1.3 	1.95 ± 0.04 	··· 	1.95
122	G141.2 + 5.0 	4 ± 0.5 	··· 	4
123	G150.3 + 4.5 	0.7-4.5 	··· 	1.5
124	G152.4 − 2.1 	1.1 ± 0.1 	1.1 ± 0.4 	1.1
125	G156.2 + 5.7 	&1.7/ 1-3 	··· 	1.7
126	G159.6 + 7.3 	1-2.5 	··· 	2.2
127	G160.9 + 2.6 	0.8 ± 0.4 	0.7 ± 0.4 	0.7
128	G166.0 + 4.3 	1 ± 0.4 	··· 	1
129	G172.8 + 1.5  	1.8	··· 	1.8
130	G179.0 + 2.6 	< 5 	··· 	5
131	G180.0 − 1.7 	1.333+0.103 −0.112 	··· 	1.33
132	G181.1 + 9.5 	1.5 ± 1 	··· 	1.5
133	G184.6 − 5.8 	3.37+4.04 −0.97 	··· 	3.37
134	G189.1 + 3.0 	1.729+0.116 −0.094 	··· 	1.73
135	G189.6 + 3.3   	1.5 ± 0.2 	··· 	1.5
136	G190.9 − 2.2 	1.036+0.079 −0.087 	··· 	1.04
137	G205.5 + 0.5 	1.15 ± 0.3 	··· 	1.15
138	G206.9 + 2.3 	2.2	2.2 ± 0.7 	2.2
139	G213.0 − 0.6 	1.146+0.079 −0.080 	··· 	1.146
