# File generated by CMD 3.7 (http://stev.oapd.inaf.it/cmd) on Sat Jul 20 00:22:02 UTC 2024
# isochrones based on PARSEC release v2.0 
# Basic references: Costa et al. 2019a,2019b for the code, Nguyen et al. 2020 for the tracks.
# Rotating tracks computed with omega_i=0.00, except for lower masses (see paper)
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# but fundamental-mode LPV periods are from Trabucchi et al. (2021)
# Photometric system: Gaia EDR3 (all Vegamags, Gaia passbands from ESA/Gaia website)
# Attention: photometry includes extinction of Av=0.912, with coefficients derived star-by-star, for Cardelli et al 89 + O'Donnell 94 Rv=3.1 extinction curve.
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dust ignored
# C-rich circumstellar dust ignored
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z  Teff0 omega angvel vtaneq angmom Rpol Req  mbolmag  G_fSBmag  G_BP_fSBmag  G_RP_fSBmag G_fSB G_f0 G_fk G_i00 G_i05 G_i10 G_i15 G_i20 G_i25 G_i30 G_i35 G_i40 G_i45 G_i50 G_i55 G_i60 G_i65 G_i70 G_i75 G_i80 G_i85 G_i90 G_BP_fSB G_BP_f0 G_BP_fk G_BP_i00 G_BP_i05 G_BP_i10 G_BP_i15 G_BP_i20 G_BP_i25 G_BP_i30 G_BP_i35 G_BP_i40 G_BP_i45 G_BP_i50 G_BP_i55 G_BP_i60 G_BP_i65 G_BP_i70 G_BP_i75 G_BP_i80 G_BP_i85 G_BP_i90 G_RP_fSB G_RP_f0 G_RP_fk G_RP_i00 G_RP_i05 G_RP_i10 G_RP_i15 G_RP_i20 G_RP_i25 G_RP_i30 G_RP_i35 G_RP_i40 G_RP_i45 G_RP_i50 G_RP_i55 G_RP_i60 G_RP_i65 G_RP_i70 G_RP_i75 G_RP_i80 G_RP_i85 G_RP_i90
0.013159 -0.05100 6.76300 0.1198703870 1.3184606167    0.120 -1.715  3.4221  3.871    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -8.17e-15      0.00 7.148e-01 2.719e-01 2.385e-03 6.435e-04 5.836e-03 -1.000 1.326e-02       2643          0          0          0          0     0.6647     0.6647 9.057 11.760 14.464 10.142 11.760 11.760 11.760 11.760 11.760 11.760 11.760 11.760 11.760 11.760 11.760 11.760 11.760 11.760 11.760 11.760 11.760 11.760 11.760 11.760 11.760 11.760 14.464 14.464 14.464 14.464 14.464 14.464 14.464 14.464 14.464 14.464 14.464 14.464 14.464 14.464 14.464 14.464 14.464 14.464 14.464 14.464 14.464 14.464 10.142 10.142 10.142 10.142 10.142 10.142 10.142 10.142 10.142 10.142 10.142 10.142 10.142 10.142 10.142 10.142 10.142 10.142 10.142 10.142 10.142 10.142
0.013159 -0.05100 6.76300 0.1200000048 1.3193154741    0.120 -1.714  3.4221  3.872    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -8.18e-15      0.00 7.148e-01 2.719e-01 2.385e-03 6.435e-04 5.836e-03 -1.000 1.326e-02       2643          0          0          0          0     0.6649     0.6649 9.055 11.758 14.461 10.140 11.758 11.758 11.758 11.758 11.758 11.758 11.758 11.758 11.758 11.758 11.758 11.758 11.758 11.758 11.758 11.758 11.758 11.758 11.758 11.758 11.758 11.758 14.461 14.461 14.461 14.461 14.461 14.461 14.461 14.461 14.461 14.461 14.461 14.461 14.461 14.461 14.461 14.461 14.461 14.461 14.461 14.461 14.461 14.461 10.140 10.140 10.140 10.140 10.140 10.140 10.140 10.140 10.140 10.140 10.140 10.140 10.140 10.140 10.140 10.140 10.140 10.140 10.140 10.140 10.140 10.140
0.013159 -0.05100 6.76300 0.1280784011 1.3703410412    0.128 -1.677  3.4262  3.879    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -8.55e-15      0.00 7.148e-01 2.719e-01 2.385e-03 6.435e-04 5.836e-03 -1.000 1.326e-02       2668          0          0          0          0     0.6823     0.6823 8.962 11.607 14.245 10.002 11.607 11.607 11.607 11.607 11.607 11.607 11.607 11.607 11.607 11.607 11.607 11.607 11.607 11.607 11.607 11.607 11.607 11.607 11.607 11.607 11.607 11.607 14.245 14.245 14.245 14.245 14.245 14.245 14.245 14.245 14.245 14.245 14.245 14.245 14.245 14.245 14.245 14.245 14.245 14.245 14.245 14.245 14.245 14.245 10.002 10.002 10.002 10.002 10.002 10.002 10.002 10.002 10.002 10.002 10.002 10.002 10.002 10.002 10.002 10.002 10.002 10.002 10.002 10.002 10.002 10.002
0.013159 -0.05100 6.76300 0.1400000006 1.4384526719    0.140 -1.626  3.4315  3.888    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -9.09e-15      0.00 7.148e-01 2.719e-01 2.385e-03 6.435e-04 5.836e-03 -1.000 1.326e-02       2701          0          0          0          0     0.7047     0.7047 8.835 11.406 13.963 9.818 11.406 11.406 11.406 11.406 11.406 11.406 11.406 11.406 11.406 11.406 11.406 11.406 11.406 11.406 11.406 11.406 11.406 11.406 11.406 11.406 11.406 11.406 13.963 13.963 13.963 13.963 13.963 13.963 13.963 13.963 13.963 13.963 13.963 13.963 13.963 13.963 13.963 13.963 13.963 13.963 13.963 13.963 13.963 13.963 9.818 9.818 9.818 9.818 9.818 9.818 9.818 9.818 9.818 9.818 9.818 9.818 9.818 9.818 9.818 9.818 9.818 9.818 9.818 9.818 9.818 9.818
0.013159 -0.05100 6.76300 0.1470457613 1.4752588368    0.147 -1.596  3.4350  3.894    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -9.44e-15      0.00 7.148e-01 2.719e-01 2.385e-03 6.435e-04 5.836e-03 -1.000 1.326e-02       2723          0          0          0          0     0.7181     0.7181 8.761 11.288 13.799 9.710 11.288 11.288 11.288 11.288 11.288 11.288 11.288 11.288 11.288 11.288 11.288 11.288 11.288 11.288 11.288 11.288 11.288 11.288 11.288 11.288 11.288 11.288 13.799 13.799 13.799 13.799 13.799 13.799 13.799 13.799 13.799 13.799 13.799 13.799 13.799 13.799 13.799 13.799 13.799 13.799 13.799 13.799 13.799 13.799 9.710 9.710 9.710 9.710 9.710 9.710 9.710 9.710 9.710 9.710 9.710 9.710 9.710 9.710 9.710 9.710 9.710 9.710 9.710 9.710 9.710 9.710
0.013159 -0.05100 6.76300 0.1599999964 1.5372931554    0.160 -1.545  3.4409  3.903    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.01e-14      0.00 7.148e-01 2.719e-01 2.385e-03 6.435e-04 5.836e-03 -1.000 1.326e-02       2760          0          0          0          0     0.7408     0.7408 8.633 11.085 13.518 9.524 11.085 11.085 11.085 11.085 11.085 11.085 11.085 11.085 11.085 11.085 11.085 11.085 11.085 11.085 11.085 11.085 11.085 11.085 11.085 11.085 11.085 11.085 13.518 13.518 13.518 13.518 13.518 13.518 13.518 13.518 13.518 13.518 13.518 13.518 13.518 13.518 13.518 13.518 13.518 13.518 13.518 13.518 13.518 13.518 9.524 9.524 9.524 9.524 9.524 9.524 9.524 9.524 9.524 9.524 9.524 9.524 9.524 9.524 9.524 9.524 9.524 9.524 9.524 9.524 9.524 9.524
0.013159 -0.05100 6.76300 0.1729254574 1.5930014810    0.173 -1.497  3.4465  3.911    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.07e-14      0.00 7.148e-01 2.719e-01 2.385e-03 6.435e-04 5.836e-03 -1.000 1.326e-02       2796          0          0          0          0      0.765      0.765 8.513 10.896 13.255 9.351 10.896 10.896 10.896 10.896 10.896 10.896 10.896 10.896 10.896 10.896 10.896 10.896 10.896 10.896 10.896 10.896 10.896 10.896 10.896 10.896 10.896 10.896 13.255 13.255 13.255 13.255 13.255 13.255 13.255 13.255 13.255 13.255 13.255 13.255 13.255 13.255 13.255 13.255 13.255 13.255 13.255 13.255 13.255 13.255 9.351 9.351 9.351 9.351 9.351 9.351 9.351 9.351 9.351 9.351 9.351 9.351 9.351 9.351 9.351 9.351 9.351 9.351 9.351 9.351 9.351 9.351
0.013159 -0.05100 6.76300 0.2000000030 1.6938790862    0.200 -1.406  3.4570  3.925    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.22e-14      0.00 7.148e-01 2.719e-01 2.385e-03 6.435e-04 5.836e-03 -1.000 1.326e-02       2864          0          0          0          0     0.8078     0.8078 8.284 10.542 12.764 9.028 10.542 10.542 10.542 10.542 10.542 10.542 10.542 10.542 10.542 10.542 10.542 10.542 10.542 10.542 10.542 10.542 10.542 10.542 10.542 10.542 10.542 10.542 12.764 12.764 12.764 12.764 12.764 12.764 12.764 12.764 12.764 12.764 12.764 12.764 12.764 12.764 12.764 12.764 12.764 12.764 12.764 12.764 12.764 12.764 9.028 9.028 9.028 9.028 9.028 9.028 9.028 9.028 9.028 9.028 9.028 9.028 9.028 9.028 9.028 9.028 9.028 9.028 9.028 9.028 9.028 9.028
0.013159 -0.05100 6.76300 0.2362471521 1.8041139786    0.236 -1.302  3.4690  3.941    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.39e-14      0.00 7.148e-01 2.719e-01 2.385e-03 6.435e-04 5.836e-03 -1.000 1.326e-02       2944          0          0          0          0     0.8629     0.8629 8.025 10.158 12.242 8.678 10.158 10.158 10.158 10.158 10.158 10.158 10.158 10.158 10.158 10.158 10.158 10.158 10.158 10.158 10.158 10.158 10.158 10.158 10.158 10.158 10.158 10.158 12.242 12.242 12.242 12.242 12.242 12.242 12.242 12.242 12.242 12.242 12.242 12.242 12.242 12.242 12.242 12.242 12.242 12.242 12.242 12.242 12.242 12.242 8.678 8.678 8.678 8.678 8.678 8.678 8.678 8.678 8.678 8.678 8.678 8.678 8.678 8.678 8.678 8.678 8.678 8.678 8.678 8.678 8.678 8.678
0.013159 -0.05100 6.76300 0.2500000000 1.8403257998    0.250 -1.266  3.4731  3.946    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.46e-14      0.00 7.148e-01 2.719e-01 2.385e-03 6.435e-04 5.836e-03 -1.000 1.326e-02       2972          0          0          0          0     0.8814     0.8814 7.935 10.029 12.072 8.560 10.029 10.029 10.029 10.029 10.029 10.029 10.029 10.029 10.029 10.029 10.029 10.029 10.029 10.029 10.029 10.029 10.029 10.029 10.029 10.029 10.029 10.029 12.072 12.072 12.072 12.072 12.072 12.072 12.072 12.072 12.072 12.072 12.072 12.072 12.072 12.072 12.072 12.072 12.072 12.072 12.072 12.072 12.072 12.072 8.560 8.560 8.560 8.560 8.560 8.560 8.560 8.560 8.560 8.560 8.560 8.560 8.560 8.560 8.560 8.560 8.560 8.560 8.560 8.560 8.560 8.560
